type,name,time_units,begin_time,frequency,count,units
signal,"LT Force curve","%",0.000,1,100,"N"

time,value
0.000,20.928
1.000,55.627
2.000,90.263
3.000,117.495
4.000,139.426
5.000,167.024
6.000,204.120
7.000,246.738
8.000,289.859
9.000,330.757
10.000,369.149
11.000,405.037
12.000,436.894
13.000,462.853
14.000,482.524
15.000,497.267
16.000,510.314
17.000,524.315
18.000,539.445
19.000,555.333
20.000,571.785
21.000,588.472
22.000,605.279
23.000,622.571
24.000,640.241
25.000,657.256
26.000,673.506
27.000,688.925
28.000,702.485
29.000,713.608
30.000,722.037
31.000,727.632
32.000,730.232
33.000,729.828
34.000,726.935
35.000,722.335
36.000,716.658
37.000,709.839
38.000,701.689
39.000,692.984
40.000,684.732
41.000,677.107
42.000,670.465
43.000,665.212
44.000,661.405
45.000,659.093
46.000,658.202
47.000,658.862
48.000,661.003
49.000,664.171
50.000,667.652
51.000,671.132
52.000,674.838
53.000,678.463
54.000,681.754
55.000,685.063
56.000,688.441
57.000,691.785
58.000,695.280
59.000,698.699
60.000,701.742
61.000,704.735
62.000,707.877
63.000,710.865
64.000,713.522
65.000,716.321
66.000,719.566
67.000,722.598
68.000,725.054
69.000,726.948
70.000,727.804
71.000,727.427
72.000,725.781
73.000,722.660
74.000,718.113
75.000,712.650
76.000,706.710
77.000,700.260
78.000,693.174
79.000,684.831
80.000,674.673
81.000,662.426
82.000,646.969
83.000,626.907
84.000,601.938
85.000,572.348
86.000,537.688
87.000,497.620
88.000,452.076
89.000,401.457
90.000,347.606
91.000,292.462
92.000,238.896
93.000,189.939
94.000,145.414
95.000,105.228
96.000,72.201
97.000,47.605
98.000,28.123
99.000,9.587
