type,name,time_units,begin_time,frequency,count,units
signal,"RT Force curve","%",0.000,1,100,"N"

time,value
0.000,17.938
1.000,48.663
2.000,84.519
3.000,120.276
4.000,152.429
5.000,185.342
6.000,224.840
7.000,272.302
8.000,322.397
9.000,368.858
10.000,410.172
11.000,446.893
12.000,477.962
13.000,502.211
14.000,519.524
15.000,530.620
16.000,538.394
17.000,546.172
18.000,555.570
19.000,566.648
20.000,578.550
21.000,590.828
22.000,603.588
23.000,617.202
24.000,631.356
25.000,645.207
26.000,659.232
27.000,673.371
28.000,685.906
29.000,695.224
30.000,700.826
31.000,703.396
32.000,703.509
33.000,701.647
34.000,698.386
35.000,693.969
36.000,688.936
37.000,683.753
38.000,678.317
39.000,672.721
40.000,667.923
41.000,664.554
42.000,662.207
43.000,661.134
44.000,661.833
45.000,663.824
46.000,666.624
47.000,670.031
48.000,673.731
49.000,677.626
50.000,681.405
51.000,684.824
52.000,688.048
53.000,690.805
54.000,692.905
55.000,694.514
56.000,695.711
57.000,696.662
58.000,697.479
59.000,698.413
60.000,699.964
61.000,702.117
62.000,704.676
63.000,707.531
64.000,710.487
65.000,713.202
66.000,715.701
67.000,718.330
68.000,720.624
69.000,722.340
70.000,723.221
71.000,722.483
72.000,720.583
73.000,718.104
74.000,714.541
75.000,709.663
76.000,703.365
77.000,695.273
78.000,685.094
79.000,672.072
80.000,656.049
81.000,637.836
82.000,616.755
83.000,591.540
84.000,562.347
85.000,529.277
86.000,492.100
87.000,450.965
88.000,406.064
89.000,358.137
90.000,308.097
91.000,257.590
92.000,210.765
93.000,169.916
94.000,131.859
95.000,94.904
96.000,63.439
97.000,40.725
98.000,23.783
99.000,8.265
