type,name,time_units,begin_time,frequency,count,units
signal,"LT Pressure plots, Stance, Force curve","s",0.000,128,50,"N"

time,value
0.000,37.432
0.008,100.557
0.016,157.833
0.023,227.772
0.031,309.132
0.039,385.058
0.047,445.706
0.055,487.515
0.063,518.130
0.070,548.280
0.078,580.643
0.086,614.087
0.094,647.820
0.102,679.883
0.109,706.278
0.117,722.892
0.125,728.137
0.133,723.577
0.141,712.259
0.148,697.089
0.156,681.511
0.164,668.964
0.172,661.398
0.180,659.689
0.188,663.242
0.195,669.575
0.203,676.503
0.211,683.361
0.219,690.238
0.227,696.987
0.234,703.322
0.242,709.249
0.250,715.022
0.258,720.779
0.266,725.348
0.273,726.665
0.281,723.219
0.289,714.936
0.297,703.050
0.305,687.799
0.313,666.415
0.320,633.522
0.328,583.636
0.336,513.483
0.344,423.048
0.352,319.492
0.359,217.089
0.367,129.620
0.375,64.211
0.383,15.848
