type,name,time_units,begin_time,frequency,count,units
signal,"RT Pressure plots, Stance, Force curve","s",0.000,128,50,"N"

time,value
0.000,31.841
0.008,102.623
0.016,172.040
0.023,253.488
0.031,344.690
0.039,426.178
0.047,485.750
0.055,521.835
0.063,543.000
0.070,562.401
0.078,585.381
0.086,611.016
0.094,638.369
0.102,665.792
0.109,688.163
0.117,699.985
0.125,701.230
0.133,695.520
0.141,686.142
0.148,675.764
0.156,667.120
0.164,662.772
0.172,663.729
0.180,668.846
0.188,675.890
0.195,682.964
0.203,688.956
0.211,693.295
0.219,696.038
0.227,698.262
0.234,701.517
0.242,706.298
0.250,711.718
0.258,716.818
0.266,720.809
0.273,721.933
0.281,718.758
0.289,711.097
0.297,697.816
0.305,676.420
0.313,644.748
0.320,600.784
0.328,542.311
0.336,468.377
0.344,379.998
0.352,284.131
0.359,193.054
0.367,115.558
0.375,56.490
0.383,13.445
