type,name,time_units,begin_time,frequency,count,units
signal_2d,"LT Pressure plots, Stance, Gait line","s",0.000,128,50,"mm"

time,x,y
0.000,13.781,-132.307
0.008,17.120,-127.443
0.016,20.386,-120.023
0.023,21.438,-110.827
0.031,19.377,-100.501
0.039,15.293,-89.595
0.047,10.727,-79.922
0.055,7.248,-72.798
0.063,5.263,-67.887
0.070,4.062,-64.107
0.078,3.184,-60.831
0.086,2.419,-57.672
0.094,1.575,-54.414
0.102,0.669,-51.256
0.109,-0.155,-48.473
0.117,-0.780,-46.111
0.125,-1.177,-43.941
0.133,-1.443,-41.628
0.141,-1.724,-38.980
0.148,-2.077,-36.034
0.156,-2.465,-32.901
0.164,-2.800,-29.676
0.172,-3.021,-26.415
0.180,-3.154,-23.128
0.188,-3.279,-19.965
0.195,-3.459,-17.059
0.203,-3.725,-14.212
0.211,-4.062,-11.144
0.219,-4.408,-7.812
0.227,-4.735,-4.258
0.234,-5.073,-0.383
0.242,-5.460,3.954
0.250,-5.919,8.851
0.258,-6.452,14.448
0.266,-7.057,20.946
0.273,-7.741,28.418
0.281,-8.483,36.854
0.289,-9.148,46.045
0.297,-9.473,55.393
0.305,-9.234,64.060
0.313,-8.456,71.446
0.320,-7.342,77.837
0.328,-6.097,84.025
0.336,-4.918,90.590
0.344,-3.934,98.013
0.352,-3.088,106.707
0.359,-2.399,116.714
0.367,-2.478,126.784
0.375,-4.117,135.044
0.383,-7.096,141.528
