type,name,time_units,begin_time,frequency,count,units
signal_2d,"RT Pressure plots, Stance, Gait line","s",0.000,128,50,"mm"

time,x,y
0.000,2.103,-134.683
0.008,-0.880,-129.633
0.016,-3.964,-121.769
0.023,-5.894,-111.486
0.031,-5.772,-99.593
0.039,-3.772,-87.229
0.047,-0.966,-76.524
0.055,1.299,-68.777
0.063,2.610,-63.591
0.070,3.348,-59.736
0.078,3.815,-56.448
0.086,4.149,-53.361
0.094,4.495,-50.267
0.102,4.904,-47.212
0.109,5.296,-44.366
0.117,5.535,-41.810
0.125,5.594,-39.282
0.133,5.612,-36.499
0.141,5.726,-33.301
0.148,5.915,-29.689
0.156,6.063,-25.897
0.164,6.098,-22.049
0.172,6.023,-18.206
0.180,5.890,-14.419
0.188,5.765,-10.749
0.195,5.698,-7.242
0.203,5.686,-3.676
0.211,5.706,0.158
0.219,5.750,4.272
0.227,5.814,8.659
0.234,5.895,13.379
0.242,5.998,18.573
0.250,6.101,24.405
0.258,6.146,30.952
0.266,6.069,38.086
0.273,5.813,45.584
0.281,5.350,53.103
0.289,4.660,60.211
0.297,3.713,66.678
0.305,2.490,72.507
0.313,1.027,77.925
0.320,-0.580,83.327
0.328,-2.200,89.071
0.336,-3.731,95.449
0.344,-5.124,102.774
0.352,-6.397,111.152
0.359,-7.395,120.229
0.367,-7.344,129.051
0.375,-5.462,136.503
0.383,-2.164,142.617
