Gait Up - Physilog data export
Created on: YYYY-MM-DD hh:mm:ss
Total data points: 20693

Time [128 hz],Gyro [128 hz],,,Accel [128 hz],,,Baro [1 hz],,Event [128 hz],Quaternion [128 hz],,,,
Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z,Pressure,Temperature,Quat W,Quat X,Quat Y,Quat Z,
[s],[deg/s],[deg/s],[deg/s],[g],[g],[g],[mBar],[degree C],[],[],[],[],
0.00781,0.16724,-0.39323,0.27336,-0.13501,0.50765,0.82878,1023.166,25.7,0.95966,0.27052,0.07660,0.00136,
0.01563,0.23600,-0.14443,0.16820,-0.13840,0.51741,0.83993,,,0.95966,0.27054,0.07659,0.00136,
0.02344,0.20162,-0.17997,0.09809,-0.14812,0.51057,0.83072,,,0.95965,0.27055,0.07657,0.00137,
0.03125,0.20162,0.03329,0.20325,-0.14715,0.51009,0.83363,,,0.95965,0.27057,0.07657,0.00138,
0.03906,0.33913,-0.00225,0.20325,-0.13938,0.50423,0.82781,,,0.95964,0.27059,0.07657,0.00139,
0.04688,0.30475,-0.17997,0.23830,-0.13938,0.51057,0.82878,,,0.95964,0.27061,0.07655,0.00140,
0.05469,0.20162,0.06883,0.23830,-0.14277,0.50911,0.84138,,,0.95963,0.27063,0.07655,0.00142,
0.06250,0.13286,0.28209,0.06303,-0.14326,0.51009,0.83799,,,0.95963,0.27064,0.07657,0.00143,
0.07031,0.16724,0.06883,0.02798,-0.14083,0.51301,0.84865,,,0.95963,0.27065,0.07657,0.00143,
0.07813,0.23600,0.24655,0.23830,-0.15054,0.51545,0.82878,,,0.95962,0.27066,0.07659,0.00145,
0.08594,0.06411,0.17546,0.02798,-0.14277,0.50716,0.83314,,,0.95962,0.27067,0.07660,0.00145,
0.09375,0.09848,0.03329,0.13314,-0.13743,0.51350,0.83605,,,0.95962,0.27068,0.07660,0.00146,
0.10156,0.06411,0.06883,0.02798,-0.14812,0.50716,0.83556,,,0.95962,0.27068,0.07660,0.00146,
0.10938,0.20162,0.03329,0.13314,-0.13840,0.51253,0.83217,,,0.95961,0.27069,0.07660,0.00147,
0.11719,0.20162,0.06883,0.20325,-0.13743,0.51301,0.83023,,,0.95961,0.27071,0.07660,0.00149,
0.12500,0.20162,0.24655,0.13314,-0.13840,0.50911,0.82830,,,0.95960,0.27072,0.07661,0.00150,
0.13281,0.23600,0.21101,0.09809,-0.14666,0.50033,0.82733,,,0.95960,0.27074,0.07663,0.00151,
0.14063,0.30475,0.06883,0.02798,-0.14375,0.51155,0.82733,,,0.95959,0.27076,0.07663,0.00151,
0.14844,0.30475,0.10438,0.09809,-0.14520,0.51643,0.83120,,,0.95959,0.27078,0.07664,0.00151,
0.15625,0.16724,0.10438,-0.04213,-0.14132,0.51155,0.82490,,,0.95958,0.27079,0.07664,0.00151,
0.16406,0.06411,0.10438,0.06303,-0.14229,0.51204,0.82927,,,0.95958,0.27079,0.07665,0.00152,
0.17188,0.27038,-0.17997,0.09809,-0.13549,0.51448,0.83556,,,0.95958,0.27081,0.07663,0.00152,
0.17969,0.20162,-0.00225,0.16820,-0.14715,0.51887,0.83556,,,0.95957,0.27083,0.07663,0.00153,
0.18750,0.13286,0.03329,-0.04213,-0.14860,0.50179,0.83750,,,0.95957,0.27083,0.07663,0.00153,
0.19531,0.20162,0.38872,0.02798,-0.15734,0.51497,0.83896,,,0.95956,0.27085,0.07666,0.00154,
0.20313,0.20162,-0.00225,0.02798,-0.13792,0.51594,0.82975,,,0.95956,0.27086,0.07666,0.00154,
0.21094,0.20162,-0.25106,0.16820,-0.14326,0.51789,0.83944,,,0.95956,0.27087,0.07664,0.00154,
0.21875,-0.00465,-0.07334,0.16820,-0.13889,0.50862,0.82975,,,0.95956,0.27088,0.07663,0.00155,
0.22656,0.09848,0.31764,0.02798,-0.14617,0.50423,0.83556,,,0.95955,0.27088,0.07665,0.00156,
0.23438,0.16724,-0.00225,0.23830,-0.13840,0.50813,0.83314,,,0.95955,0.27089,0.07665,0.00157,
0.24219,0.23600,-0.10889,0.23830,-0.14666,0.51301,0.83605,,,0.95955,0.27091,0.07664,0.00159,
0.25000,-0.00465,-0.07334,0.20325,-0.13112,0.50911,0.82587,,,0.95955,0.27091,0.07663,0.00160,
0.25781,0.20162,0.03329,0.20325,-0.14860,0.50618,0.83799,,,0.95954,0.27093,0.07663,0.00161,
0.26563,0.09848,-0.17997,0.30841,-0.14520,0.51009,0.83314,,,0.95954,0.27093,0.07661,0.00163,
0.27344,-0.00465,-0.03780,0.20325,-0.13598,0.51106,0.83120,,,0.95954,0.27093,0.07660,0.00164,
0.28125,0.06411,-0.03780,0.06303,-0.13938,0.50716,0.82151,,,0.95954,0.27094,0.07660,0.00164,
0.28906,0.16724,0.13992,0.06303,-0.14860,0.50911,0.83799,,,0.95954,0.27095,0.07661,0.00165,
0.29688,0.09848,0.17546,0.06303,-0.14617,0.51155,0.83556,,,0.95954,0.27096,0.07662,0.00165,
0.30469,0.06411,0.21101,-0.00707,-0.14472,0.50765,0.83750,,,0.95953,0.27096,0.07663,0.00166,
0.31250,0.13286,0.03329,0.09809,-0.14180,0.51253,0.83896,,,0.95953,0.27097,0.07663,0.00166,
0.32031,0.06411,0.21101,0.02798,-0.14132,0.50911,0.83217,,,0.95953,0.27097,0.07664,0.00167,
0.32813,0.16724,0.06883,0.13314,-0.13840,0.50765,0.83023,,,0.95953,0.27099,0.07665,0.00168,
0.33594,-0.00465,0.21101,0.20325,-0.14472,0.50960,0.83169,,,0.95952,0.27099,0.07666,0.00170,
0.34375,0.09848,0.06883,0.16820,-0.14520,0.51253,0.83605,,,0.95952,0.27099,0.07666,0.00171,
0.35156,0.27038,0.28209,0.06303,-0.14617,0.51643,0.83556,,,0.95952,0.27101,0.07667,0.00172,
0.35938,0.13286,0.06883,0.02798,-0.13938,0.50618,0.83411,,,0.95951,0.27102,0.07668,0.00172,
0.36719,0.06411,0.06883,0.20325,-0.13403,0.51155,0.82394,,,0.95951,0.27103,0.07668,0.00173,
0.37500,0.13286,-0.03780,0.13314,-0.13889,0.50716,0.83072,,,0.95951,0.27104,0.07667,0.00174,
0.38281,0.16724,0.13992,0.13314,-0.14229,0.50862,0.83217,,,0.95951,0.27105,0.07668,0.00175,
0.39063,0.09848,0.13992,0.13314,-0.14326,0.50716,0.83605,,,0.95950,0.27105,0.07669,0.00176,
0.39844,0.02973,-0.00225,0.13314,-0.13258,0.50618,0.83023,,,0.95950,0.27106,0.07669,0.00177,
0.40625,0.20162,-0.00225,0.16820,-0.13938,0.51399,0.83217,,,0.95950,0.27107,0.07668,0.00178,
0.41406,-0.00465,-0.00225,0.23830,-0.13598,0.51155,0.82684,,,0.95950,0.27107,0.07668,0.00179,
0.42188,0.16724,0.17546,0.13314,-0.15200,0.51057,0.82830,,,0.95949,0.27108,0.07669,0.00181,
0.42969,0.13286,-0.00225,0.06303,-0.14083,0.51789,0.83702,,,0.95949,0.27109,0.07669,0.00181,
0.43750,0.27038,0.13992,0.13314,-0.14375,0.51692,0.83217,,,0.95949,0.27111,0.07669,0.00182,
0.44531,0.20162,-0.03780,0.13314,-0.14472,0.51301,0.82830,,,0.95948,0.27113,0.07669,0.00183,
0.45313,0.16724,0.10438,0.13314,-0.14666,0.51301,0.83363,,,0.95948,0.27114,0.07669,0.00184,
0.46094,0.23600,-0.14443,0.20325,-0.14472,0.50716,0.83605,,,0.95948,0.27115,0.07668,0.00185,
0.46875,0.20162,-0.17997,0.27336,-0.13646,0.51497,0.83363,,,0.95947,0.27117,0.07666,0.00186,
0.47656,0.09848,0.13992,0.23830,-0.14083,0.51204,0.82781,,,0.95947,0.27118,0.07667,0.00188,
0.48438,0.16724,-0.00225,0.27336,-0.13743,0.50667,0.82636,,,0.95947,0.27119,0.07666,0.00189,
0.49219,0.16724,-0.03780,0.20325,-0.14666,0.51106,0.83363,,,0.95946,0.27120,0.07666,0.00191,
0.50000,0.02973,-0.00225,0.27336,-0.15394,0.51984,0.83314,,,0.95946,0.27120,0.07665,0.00192,
0.50781,-0.00465,-0.03780,0.02798,-0.14715,0.51057,0.83460,,,0.95946,0.27120,0.07665,0.00192,
0.51563,0.02973,0.10438,0.06303,-0.13938,0.50472,0.82975,,,0.95946,0.27121,0.07665,0.00193,
0.52344,0.30475,0.03329,0.20325,-0.14180,0.51399,0.83120,,,0.95946,0.27123,0.07665,0.00194,
0.53125,0.09848,0.03329,0.20325,-0.13695,0.51204,0.83120,,,0.95945,0.27123,0.07665,0.00196,
0.53906,0.16724,0.13992,0.13314,-0.14763,0.50960,0.83799,,,0.95945,0.27125,0.07666,0.00197,
0.54688,0.09848,0.28209,0.02798,-0.15152,0.51155,0.83750,,,0.95945,0.27125,0.07667,0.00197,
0.55469,0.02973,0.06883,0.13314,-0.13743,0.51448,0.83702,,,0.95945,0.27125,0.07668,0.00198,
0.56250,-0.00465,0.06883,0.16820,-0.14083,0.50765,0.82297,,,0.95945,0.27126,0.07668,0.00199,
0.57031,-0.03903,0.06883,0.20325,-0.14569,0.51301,0.83314,,,0.95945,0.27125,0.07668,0.00201,
0.57813,0.13286,0.06883,0.16820,-0.14132,0.50667,0.82781,,,0.95944,0.27126,0.07668,0.00202,
0.58594,0.09848,-0.03780,0.20325,-0.14666,0.50325,0.83702,,,0.95944,0.27127,0.07667,0.00203,
0.59375,0.16724,-0.00225,0.20325,-0.14035,0.50911,0.83363,,,0.95944,0.27128,0.07667,0.00205,
0.60156,0.16724,0.03329,0.13314,-0.13889,0.51497,0.83411,,,0.95944,0.27129,0.07667,0.00205,
0.60938,0.20162,0.10438,0.20325,-0.14812,0.51301,0.83460,,,0.95943,0.27131,0.07667,0.00207,
0.61719,0.13286,0.13992,0.13314,-0.15249,0.51253,0.83847,,,0.95943,0.27132,0.07668,0.00208,
0.62500,0.16724,-0.17997,0.13314,-0.13355,0.50765,0.83896,,,0.95943,0.27133,0.07667,0.00208,
0.63281,0.16724,0.10438,0.06303,-0.13646,0.51448,0.83363,,,0.95942,0.27134,0.07667,0.00209,
0.64063,0.13286,-0.14443,0.02798,-0.14229,0.50716,0.83363,,,0.95942,0.27135,0.07666,0.00209,
0.64844,0.13286,0.06883,0.06303,-0.14132,0.50716,0.83411,,,0.95942,0.27136,0.07666,0.00209,
0.65625,0.13286,0.03329,0.02798,-0.14617,0.50862,0.83508,,,0.95942,0.27137,0.07667,0.00209,
0.66406,0.23600,0.06883,0.16820,-0.15006,0.51741,0.83508,,,0.95941,0.27138,0.07667,0.00210,
0.67188,0.13286,0.03329,0.02798,-0.13258,0.50813,0.83169,,,0.95941,0.27139,0.07667,0.00211,
0.67969,0.06411,-0.10889,0.23830,-0.13161,0.50277,0.82345,,,0.95941,0.27140,0.07666,0.00212,
0.68750,0.06411,-0.32215,0.20325,-0.13063,0.50569,0.83023,,,0.95941,0.27140,0.07663,0.00213,
0.69531,0.20162,0.28209,0.13314,-0.14715,0.51057,0.82975,,,0.95940,0.27142,0.07665,0.00214,
0.70313,0.09848,0.06883,0.16820,-0.13986,0.50521,0.83217,,,0.95940,0.27142,0.07665,0.00215,
0.71094,0.13286,-0.10889,0.27336,-0.14229,0.51399,0.84380,,,0.95940,0.27144,0.07664,0.00217,
0.71875,0.16724,-0.00225,0.27336,-0.14617,0.51692,0.83363,,,0.95940,0.27145,0.07663,0.00218,
0.72656,0.13286,0.03329,0.16820,-0.14229,0.51155,0.83314,,,0.95939,0.27146,0.07663,0.00219,
0.73438,0.13286,-0.00225,0.27336,-0.14472,0.51399,0.83023,,,0.95939,0.27147,0.07663,0.00221,
0.74219,0.16724,-0.00225,0.13314,-0.14569,0.51106,0.83702,,,0.95939,0.27148,0.07662,0.00222,
0.75000,0.13286,0.10438,0.20325,-0.14132,0.51594,0.83944,,,0.95938,0.27149,0.07663,0.00223,
0.75781,0.06411,0.06883,0.16820,-0.14083,0.51350,0.82878,,,0.95938,0.27149,0.07663,0.00225,
0.76563,0.02973,-0.17997,0.20325,-0.14180,0.51057,0.83120,,,0.95938,0.27150,0.07661,0.00226,
0.77344,0.23600,0.03329,0.20325,-0.14423,0.51057,0.83169,,,0.95938,0.27151,0.07661,0.00227,
0.78125,0.27038,-0.10889,0.23830,-0.14423,0.51399,0.84283,,,0.95937,0.27153,0.07660,0.00228,
0.78906,0.16724,-0.03780,0.16820,-0.13889,0.50960,0.83460,,,0.95937,0.27154,0.07659,0.00229,
0.79688,0.06411,-0.10889,0.16820,-0.13646,0.51057,0.82539,,,0.95937,0.27155,0.07658,0.00230,
