Gait Up - Physilog data export
Created on: YYYY-MM-DD hh:mm:ss
Total data points: 20693

Time [128 hz],Gyro [128 hz],,,Accel [128 hz],,,Baro [1 hz],,Event [128 hz],Quaternion [128 hz],,,,
Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z,Pressure,Temperature,Quat W,Quat X,Quat Y,Quat Z,
[s],[deg/s],[deg/s],[deg/s],[g],[g],[g],[mBar],[degree C],[],[],[],[],
0.00781,0.34443,0.00060,-0.51060,-0.20348,0.92600,0.32670,1021.681,24.4,0.81434,0.56683,0.12460,-0.00445,
0.01563,0.10408,0.07220,-0.54549,-0.18994,0.91726,0.33447,,,0.81434,0.56683,0.12463,-0.00448,
0.02344,0.31010,0.07220,-0.44082,-0.19913,0.92842,0.34371,,,0.81433,0.56685,0.12465,-0.00450,
0.03125,0.31010,0.07220,-0.44082,-0.20784,0.91484,0.33350,,,0.81431,0.56686,0.12467,-0.00453,
0.03906,0.34443,0.07220,-0.54549,-0.20590,0.91096,0.32816,,,0.81430,0.56688,0.12469,-0.00456,
0.04688,0.37877,-0.03520,-0.61528,-0.19865,0.92600,0.33350,,,0.81428,0.56689,0.12472,-0.00460,
0.05469,0.34443,0.07220,-0.65017,-0.18897,0.93522,0.34225,,,0.81427,0.56690,0.12475,-0.00463,
0.06250,0.27576,0.03640,-0.44082,-0.19188,0.91678,0.33739,,,0.81426,0.56692,0.12476,-0.00466,
0.07031,0.31010,0.00060,-0.40592,-0.20348,0.91678,0.33691,,,0.81425,0.56693,0.12478,-0.00468,
0.07813,0.41310,-0.03520,-0.54549,-0.20784,0.92357,0.32670,,,0.81423,0.56695,0.12480,-0.00472,
0.08594,0.34443,0.03640,-0.54549,-0.19478,0.92115,0.34079,,,0.81422,0.56696,0.12482,-0.00475,
0.09375,0.13842,0.07220,-0.40592,-0.20445,0.91921,0.33010,,,0.81421,0.56697,0.12484,-0.00477,
0.10156,0.20709,0.07220,-0.47571,-0.19139,0.91338,0.33593,,,0.81420,0.56697,0.12486,-0.00480,
0.10938,0.27576,0.03640,-0.40592,-0.20687,0.92988,0.33545,,,0.81419,0.56699,0.12488,-0.00482,
0.11719,0.27576,-0.03520,-0.44082,-0.20929,0.92066,0.34128,,,0.81418,0.56700,0.12490,-0.00485,
0.12500,0.37877,0.03640,-0.47571,-0.20252,0.92406,0.32329,,,0.81417,0.56702,0.12492,-0.00488,
0.13281,0.24142,-0.03520,-0.40592,-0.18801,0.91484,0.33934,,,0.81416,0.56703,0.12493,-0.00490,
0.14063,0.27576,0.03640,-0.44082,-0.20639,0.91872,0.32670,,,0.81415,0.56704,0.12495,-0.00493,
0.14844,0.20709,0.10799,-0.47571,-0.20058,0.91775,0.33350,,,0.81414,0.56704,0.12497,-0.00495,
0.15625,0.20709,0.03640,-0.51060,-0.19816,0.92018,0.32816,,,0.81413,0.56705,0.12500,-0.00498,
0.16406,0.20709,0.10799,-0.65017,-0.20300,0.92163,0.33691,,,0.81412,0.56706,0.12503,-0.00502,
0.17188,0.34443,0.14379,-0.58039,-0.20494,0.92939,0.33788,,,0.81410,0.56707,0.12506,-0.00505,
0.17969,0.10408,0.07220,-0.65017,-0.19429,0.92260,0.34079,,,0.81410,0.56707,0.12509,-0.00508,
0.18750,0.10408,0.03640,-0.58039,-0.19284,0.92115,0.33836,,,0.81409,0.56707,0.12511,-0.00511,
0.19531,0.13842,0.03640,-0.54549,-0.19768,0.91387,0.32718,,,0.81409,0.56708,0.12513,-0.00514,
0.20313,0.34443,0.14379,-0.54549,-0.20058,0.92745,0.33204,,,0.81407,0.56709,0.12516,-0.00517,
0.21094,0.13842,-0.10679,-0.54549,-0.20058,0.91484,0.32378,,,0.81407,0.56709,0.12518,-0.00520,
0.21875,0.10408,0.10799,-0.37103,-0.19671,0.92551,0.34565,,,0.81406,0.56710,0.12520,-0.00522,
0.22656,0.13842,0.00060,-0.37103,-0.19284,0.91775,0.33545,,,0.81406,0.56710,0.12521,-0.00524,
0.23438,0.27576,0.10799,-0.44082,-0.18704,0.92988,0.33934,,,0.81405,0.56711,0.12524,-0.00527,
0.24219,0.20709,0.14379,-0.54549,-0.20300,0.91532,0.33107,,,0.81404,0.56712,0.12526,-0.00529,
0.25000,0.27576,0.03640,-0.47571,-0.20445,0.93279,0.34274,,,0.81403,0.56713,0.12528,-0.00532,
0.25781,0.24142,0.03640,-0.33614,-0.19575,0.92503,0.32816,,,0.81402,0.56714,0.12530,-0.00534,
0.26563,0.44744,0.03640,-0.44082,-0.19091,0.93231,0.33885,,,0.81400,0.56716,0.12532,-0.00537,
0.27344,0.17275,-0.03520,-0.51060,-0.20203,0.91775,0.33010,,,0.81399,0.56717,0.12534,-0.00540,
0.28125,0.24142,0.03640,-0.58039,-0.20203,0.92454,0.33739,,,0.81398,0.56718,0.12536,-0.00543,
0.28906,0.20709,0.00060,-0.61528,-0.20058,0.90416,0.32329,,,0.81397,0.56718,0.12538,-0.00547,
0.29688,0.31010,0.03640,-0.58039,-0.19671,0.91921,0.33302,,,0.81396,0.56719,0.12541,-0.00550,
0.30469,0.10408,-0.07100,-0.51060,-0.20107,0.92600,0.33836,,,0.81396,0.56720,0.12542,-0.00553,
0.31250,0.31010,0.00060,-0.68507,-0.19333,0.93133,0.34760,,,0.81395,0.56721,0.12545,-0.00557,
0.32031,0.20709,0.14379,-0.54549,-0.20010,0.92454,0.33496,,,0.81394,0.56721,0.12548,-0.00560,
0.32813,0.20709,0.07220,-0.51060,-0.20203,0.90659,0.33788,,,0.81393,0.56722,0.12550,-0.00563,
0.33594,0.27576,0.28698,-0.58039,-0.21026,0.92891,0.32961,,,0.81391,0.56723,0.12554,-0.00565,
0.34375,0.17275,0.03640,-0.54549,-0.19913,0.92406,0.33156,,,0.81391,0.56724,0.12556,-0.00568,
0.35156,0.17275,0.03640,-0.47571,-0.19961,0.93133,0.33059,,,0.81390,0.56724,0.12559,-0.00571,
0.35938,0.24142,0.00060,-0.40592,-0.19526,0.91726,0.33836,,,0.81389,0.56725,0.12560,-0.00573,
0.36719,0.20709,0.14379,-0.54549,-0.19575,0.92357,0.33593,,,0.81388,0.56726,0.12563,-0.00576,
0.37500,0.20709,0.00060,-0.58039,-0.19671,0.91144,0.33642,,,0.81387,0.56727,0.12565,-0.00579,
0.38281,0.17275,0.10799,-0.65017,-0.20252,0.91921,0.32767,,,0.81386,0.56727,0.12568,-0.00582,
0.39063,0.24142,0.07220,-0.58039,-0.19381,0.91532,0.32718,,,0.81385,0.56728,0.12571,-0.00586,
0.39844,0.24142,0.14379,-0.58039,-0.20203,0.93376,0.32913,,,0.81384,0.56729,0.12574,-0.00588,
0.40625,0.13842,0.07220,-0.51060,-0.20397,0.91387,0.33691,,,0.81384,0.56729,0.12576,-0.00591,
0.41406,0.17275,0.07220,-0.61528,-0.20832,0.92115,0.34128,,,0.81383,0.56729,0.12579,-0.00594,
0.42188,0.10408,0.03640,-0.47571,-0.20203,0.91581,0.32816,,,0.81383,0.56730,0.12581,-0.00597,
0.42969,0.13842,0.07220,-0.54549,-0.19623,0.93182,0.33885,,,0.81382,0.56730,0.12584,-0.00600,
0.43750,0.00107,0.10799,-0.47571,-0.19381,0.92018,0.33836,,,0.81382,0.56729,0.12586,-0.00602,
0.44531,0.13842,0.07220,-0.47571,-0.20445,0.91775,0.34225,,,0.81381,0.56730,0.12588,-0.00605,
0.45313,0.27576,0.00060,-0.51060,-0.20300,0.92115,0.32718,,,0.81380,0.56731,0.12590,-0.00608,
0.46094,0.24142,0.03640,-0.47571,-0.20010,0.92503,0.33885,,,0.81379,0.56732,0.12592,-0.00610,
0.46875,0.13842,0.07220,-0.54549,-0.19381,0.92600,0.32913,,,0.81378,0.56732,0.12595,-0.00613,
0.47656,0.27576,0.07220,-0.47571,-0.19333,0.92018,0.33496,,,0.81377,0.56733,0.12597,-0.00616,
0.48438,0.17275,0.00060,-0.51060,-0.18994,0.92406,0.33836,,,0.81377,0.56734,0.12599,-0.00619,
0.49219,0.27576,0.07220,-0.58039,-0.20348,0.91921,0.33059,,,0.81375,0.56735,0.12602,-0.00622,
0.50000,0.06975,0.03640,-0.51060,-0.19526,0.92357,0.33691,,,0.81375,0.56735,0.12604,-0.00625,
