Gait Up - Physilog data export
Created on: YYYY-MM-DD hh:mm:ss
Total data points: 20693

Time [128 hz],Gyro [128 hz],,,Accel [128 hz],,,Baro [1 hz],,Event [128 hz],Quaternion [128 hz],,,,
Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z,Pressure,Temperature,Quat W,Quat X,Quat Y,Quat Z,
[s],[deg/s],[deg/s],[deg/s],[g],[g],[g],[mBar],[degree C],[],[],[],[],
0.00781,0.06621,-0.30248,-0.71273,-0.17390,0.97429,0.11874,1022.104,26.6,0.74694,0.65393,0.12020,-0.00214,
0.01563,0.10067,-0.01978,-0.88698,-0.17487,0.97622,0.11825,,,0.74693,0.65393,0.12024,-0.00219,
0.02344,0.06621,-0.09045,-0.85213,-0.17101,0.97188,0.12510,,,0.74693,0.65393,0.12027,-0.00224,
0.03125,0.20404,-0.62052,-0.74758,-0.17101,0.96802,0.12070,,,0.74693,0.65393,0.12028,-0.00230,
0.03906,0.13513,-0.05512,-0.74758,-0.17825,0.97670,0.12070,,,0.74692,0.65393,0.12031,-0.00235,
0.04688,0.13513,-0.23180,-0.74758,-0.17632,0.96898,0.12168,,,0.74692,0.65393,0.12033,-0.00240,
0.05469,0.10067,-0.12579,-0.78243,-0.17342,0.96850,0.12461,,,0.74691,0.65393,0.12036,-0.00244,
0.06250,0.23849,-0.40849,-0.74758,-0.17197,0.96850,0.12363,,,0.74691,0.65394,0.12037,-0.00250,
0.07031,0.23849,-0.30248,-0.88698,-0.17197,0.97429,0.12021,,,0.74690,0.65394,0.12039,-0.00256,
0.07813,0.03176,-0.16113,-0.85213,-0.16859,0.97284,0.12266,,,0.74690,0.65394,0.12042,-0.00261,
0.08594,0.16958,-0.19647,-0.78243,-0.16859,0.97236,0.11825,,,0.74689,0.65394,0.12045,-0.00266,
0.09375,0.03176,0.05090,-0.92183,-0.17390,0.97429,0.11776,,,0.74689,0.65393,0.12049,-0.00271,
0.10156,0.16958,-0.01978,-0.95667,-0.17535,0.97043,0.11336,,,0.74688,0.65394,0.12053,-0.00276,
0.10938,0.20404,-0.19647,-0.95667,-0.17439,0.97188,0.11972,,,0.74687,0.65394,0.12056,-0.00282,
0.11719,0.03176,-0.16113,-0.81728,-0.16811,0.97525,0.12266,,,0.74687,0.65393,0.12059,-0.00287,
0.12500,-0.10607,-0.16113,-0.78243,-0.16714,0.97381,0.12363,,,0.74688,0.65392,0.12062,-0.00291,
0.13281,-0.10607,-0.01978,-0.81728,-0.17487,0.97381,0.11385,,,0.74688,0.65391,0.12065,-0.00295,
0.14063,-0.07161,0.15691,-0.78243,-0.18067,0.96995,0.11825,,,0.74689,0.65390,0.12070,-0.00299,
0.14844,-0.07161,-0.09045,-0.67788,-0.17390,0.96802,0.12314,,,0.74689,0.65389,0.12072,-0.00302,
0.15625,-0.10607,0.01556,-0.67788,-0.17197,0.96609,0.12217,,,0.74689,0.65388,0.12075,-0.00306,
0.16406,-0.07161,-0.19647,-0.60818,-0.17197,0.96657,0.12168,,,0.74690,0.65387,0.12077,-0.00310,
0.17188,-0.10607,0.05090,-0.74758,-0.17004,0.97381,0.12804,,,0.74690,0.65386,0.12081,-0.00313,
0.17969,-0.07161,-0.16113,-0.64303,-0.17197,0.96753,0.12314,,,0.74691,0.65385,0.12083,-0.00317,
0.18750,0.06621,-0.09045,-0.78243,-0.16617,0.97670,0.11972,,,0.74691,0.65385,0.12086,-0.00321,
0.19531,0.10067,0.19225,-0.78243,-0.17245,0.97139,0.12168,,,0.74690,0.65385,0.12090,-0.00325,
0.20313,0.06621,0.40427,-0.95667,-0.17632,0.97670,0.12070,,,0.74689,0.65384,0.12097,-0.00328,
0.21094,0.03176,0.26292,-0.95667,-0.17390,0.97960,0.11825,,,0.74689,0.65383,0.12102,-0.00332,
0.21875,0.03176,0.29826,-0.95667,-0.16472,0.97670,0.12266,,,0.74688,0.65383,0.12108,-0.00335,
0.22656,0.03176,0.22758,-0.85213,-0.17390,0.97525,0.11287,,,0.74688,0.65382,0.12113,-0.00338,
0.23438,-0.10607,0.65164,-0.99152,-0.18067,0.97718,0.12021,,,0.74688,0.65381,0.12121,-0.00340,
