Gait Up - Physilog data export
Created on: YYYY-MM-DD hh:mm:ss
Total data points: 20693

Time [128 hz],Gyro [128 hz],,,Accel [128 hz],,,Baro [1 hz],,Event [128 hz],Quaternion [128 hz],,,,
Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z,Pressure,Temperature,Quat W,Quat X,Quat Y,Quat Z,
[s],[deg/s],[deg/s],[deg/s],[g],[g],[g],[mBar],[degree C],[],[],[],[],
0.00781,0.40710,-0.58662,0.01247,0.18159,0.51766,0.82691,1021.882,25.1,0.95512,0.27613,-0.10720,-0.00090,
0.01563,0.44138,-0.83866,0.08283,0.18595,0.51619,0.82353,,,0.95511,0.27616,-0.10725,-0.00091,
0.02344,0.40710,-0.83866,0.18836,0.19759,0.51863,0.81724,,,0.95509,0.27619,-0.10731,-0.00091,
0.03125,0.44138,-0.87466,0.08283,0.19274,0.51521,0.82304,,,0.95508,0.27621,-0.10737,-0.00091,
0.03906,0.44138,-0.80265,0.15319,0.17868,0.51082,0.82014,,,0.95507,0.27624,-0.10743,-0.00092,
0.04688,0.33854,-0.83866,0.22354,0.18741,0.50984,0.82401,,,0.95505,0.27626,-0.10749,-0.00091,
0.05469,0.44138,-0.83866,0.15319,0.18498,0.51131,0.82111,,,0.95504,0.27629,-0.10754,-0.00092,
0.06250,0.44138,-0.98267,0.22354,0.20001,0.51863,0.82594,,,0.95502,0.27632,-0.10761,-0.00092,
0.07031,0.33854,-0.91066,0.32908,0.19128,0.52010,0.82063,,,0.95501,0.27634,-0.10768,-0.00091,
0.07813,0.33854,-0.98267,0.25872,0.18886,0.51863,0.82063,,,0.95500,0.27636,-0.10775,-0.00091,
0.08594,0.37282,-0.83866,0.32908,0.18256,0.50691,0.81434,,,0.95498,0.27638,-0.10781,-0.00090,
0.09375,0.47565,-1.01868,0.25872,0.18837,0.51912,0.82498,,,0.95497,0.27641,-0.10788,-0.00090,
0.10156,0.47565,-1.12669,0.32908,0.19322,0.52498,0.83223,,,0.95495,0.27644,-0.10796,-0.00090,
0.10938,0.33854,-1.12669,0.36426,0.19177,0.50984,0.82546,,,0.95493,0.27645,-0.10804,-0.00089,
0.11719,0.33854,-0.94667,0.29390,0.17529,0.51424,0.82111,,,0.95492,0.27647,-0.10810,-0.00089,
0.12500,0.37282,-0.91066,0.25872,0.18837,0.51424,0.81579,,,0.95491,0.27650,-0.10817,-0.00089,
