Gait Up - Physilog data export
Created on: YYYY-MM-DD hh:mm:ss
Total data points: 20693

Time [128 hz],Gyro [128 hz],,,Accel [128 hz],,,Baro [1 hz],,Event [128 hz],Quaternion [128 hz],,,,
Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z,Pressure,Temperature,Quat W,Quat X,Quat Y,Quat Z,
[s],[deg/s],[deg/s],[deg/s],[g],[g],[g],[mBar],[degree C],[],[],[],[],
0.00781,0.33465,0.46665,-0.39704,0.09930,0.95625,0.28822,1022.728,24.7,0.80052,0.59656,-0.05719,-0.00180,
0.01563,0.50636,0.32418,-0.53674,0.10561,0.97186,0.30225,,,0.80050,0.59659,-0.05715,-0.00181,
0.02344,0.50636,0.21733,-0.53674,0.10464,0.95576,0.30031,,,0.80048,0.59662,-0.05712,-0.00183,
0.03125,0.50636,0.25295,-0.60659,0.10804,0.95966,0.29112,,,0.80046,0.59665,-0.05708,-0.00185,
0.03906,0.43768,0.39542,-0.53674,0.10852,0.95722,0.28338,,,0.80045,0.59668,-0.05704,-0.00186,
0.04688,0.40333,0.25295,-0.64152,0.10464,0.96601,0.29644,,,0.80043,0.59670,-0.05700,-0.00189,
0.05469,0.36899,0.43104,-0.67645,0.11095,0.96650,0.30757,,,0.80042,0.59673,-0.05695,-0.00190,
0.06250,0.40333,0.35980,-0.60659,0.10852,0.96015,0.29935,,,0.80040,0.59675,-0.05690,-0.00192,
0.07031,0.36899,0.32418,-0.60659,0.10852,0.96259,0.31144,,,0.80039,0.59677,-0.05686,-0.00194,
0.07813,0.30030,0.43104,-0.74630,0.11435,0.97284,0.30031,,,0.80038,0.59679,-0.05681,-0.00196,
0.08594,0.26596,0.25295,-0.85107,0.10852,0.96650,0.29693,,,0.80037,0.59681,-0.05676,-0.00200,
0.09375,0.36899,0.25295,-0.85107,0.10852,0.95966,0.29209,,,0.80035,0.59684,-0.05671,-0.00203,
0.10156,0.50636,0.28856,-0.85107,0.11289,0.95820,0.29160,,,0.80033,0.59687,-0.05666,-0.00206,
0.10938,0.40333,0.28856,-0.78122,0.10513,0.96894,0.28773,,,0.80032,0.59689,-0.05661,-0.00209,
0.11719,0.40333,0.60913,-0.67645,0.10076,0.96552,0.29548,,,0.80031,0.59692,-0.05655,-0.00210,
0.12500,0.40333,0.43104,-0.71137,0.10124,0.96796,0.30709,,,0.80029,0.59694,-0.05650,-0.00212,
