Gait Up - Physilog data export
Created on: YYYY-MM-DD hh:mm:ss
Total data points: 20693

Time [128 hz],Gyro [128 hz],,,Accel [128 hz],,,Baro [1 hz],,Event [128 hz],Quaternion [128 hz],,,,
Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z,Pressure,Temperature,Quat W,Quat X,Quat Y,Quat Z,
[s],[deg/s],[deg/s],[deg/s],[g],[g],[g],[mBar],[degree C],[],[],[],[],
0.00781,0.88859,-0.24533,-0.84417,0.21504,0.96745,0.18755,1021.973,25.4,0.00000,0.00000,0.00000,0.00000,
0.01563,0.75003,-0.52977,-0.84417,0.21602,0.96599,0.17399,,,0.00000,0.00000,0.00000,0.00000,
0.02344,0.85395,-0.70755,-0.63329,0.22732,0.96012,0.17835,,,0.00000,0.00000,0.00000,0.00000,
0.03125,0.88859,-0.28088,-0.80902,0.21798,0.96110,0.17399,,,0.00000,0.00000,0.00000,0.00000,
0.03906,1.06179,-0.13866,-0.87932,0.21798,0.96501,0.17690,,,0.76726,0.62542,-0.14201,0.00000,
0.04688,0.88859,-0.42311,-0.80902,0.22191,0.96550,0.18271,,,0.76722,0.62547,-0.14199,-0.00005,
0.05469,0.81931,-0.60088,-0.66844,0.22339,0.96061,0.18319,,,0.76718,0.62552,-0.14200,-0.00010,
0.06250,0.81931,-0.42311,-0.63329,0.22535,0.95914,0.18125,,,0.76714,0.62557,-0.14199,-0.00015,
0.07031,0.88859,-0.13866,-0.73873,0.22290,0.96110,0.18077,,,0.76710,0.62562,-0.14197,-0.00018,
0.07813,0.81931,-0.35199,-0.66844,0.21798,0.96061,0.17593,,,0.76706,0.62567,-0.14196,-0.00023,
0.08594,0.81931,-0.49422,-0.59815,0.22191,0.96061,0.18706,,,0.76702,0.62572,-0.14196,-0.00027,
0.09375,0.85395,-0.38755,-0.66844,0.21651,0.95865,0.18706,,,0.76698,0.62577,-0.14195,-0.00031,
0.10156,0.99251,-0.06755,-0.80902,0.21995,0.96207,0.17738,,,0.76694,0.62583,-0.14192,-0.00035,
0.10938,1.02715,-0.49422,-0.42241,0.22682,0.96159,0.17157,,,0.76689,0.62589,-0.14193,-0.00038,
0.11719,0.95787,-0.31644,-0.63329,0.21602,0.95719,0.17786,,,0.76684,0.62595,-0.14192,-0.00042,
0.12500,1.06179,-0.38755,-0.63329,0.22142,0.96501,0.17738,,,0.76680,0.62601,-0.14191,-0.00046,
0.13281,0.85395,-0.60088,-0.28183,0.21847,0.96159,0.17835,,,0.76675,0.62606,-0.14193,-0.00049,
0.14063,1.02715,-0.42311,-0.52785,0.21160,0.96892,0.18755,,,0.76671,0.62611,-0.14193,-0.00053,
0.14844,0.92323,-0.56533,-0.38727,0.22682,0.96550,0.18658,,,0.76666,0.62617,-0.14194,-0.00056,
0.15625,0.92323,-0.63644,-0.42241,0.22486,0.95963,0.18029,,,0.76662,0.62622,-0.14196,-0.00060,
0.16406,0.88859,-0.67200,-0.24668,0.22044,0.95670,0.17496,,,0.76657,0.62627,-0.14198,-0.00064,
0.17188,0.99251,-0.56533,-0.35212,0.22191,0.96159,0.18029,,,0.76652,0.62632,-0.14200,-0.00067,
0.17969,1.02715,-0.52977,-0.17639,0.22437,0.95865,0.18706,,,0.76647,0.62638,-0.14202,-0.00069,
0.18750,0.95787,-0.56533,-0.07095,0.22977,0.96354,0.18319,,,0.76643,0.62643,-0.14204,-0.00071,
0.19531,1.13107,-0.42311,-0.03580,0.22290,0.95572,0.17883,,,0.76637,0.62649,-0.14206,-0.00072,
0.20313,1.20035,-0.31644,-0.17639,0.22044,0.95963,0.18125,,,0.76632,0.62655,-0.14207,-0.00073,
0.21094,1.02715,-0.49422,-0.10610,0.22486,0.96256,0.18416,,,0.76627,0.62661,-0.14209,-0.00075,
0.21875,0.88859,-1.09867,-0.00066,0.22879,0.96696,0.18222,,,0.76622,0.62665,-0.14215,-0.00078,
0.22656,0.85395,-1.06311,-0.00066,0.22535,0.96207,0.18368,,,0.76618,0.62670,-0.14221,-0.00082,
0.23438,0.99251,-0.70755,-0.17639,0.22093,0.95670,0.18658,,,0.76613,0.62675,-0.14224,-0.00085,
0.24219,1.13107,-0.38755,-0.17639,0.21798,0.96354,0.17544,,,0.76608,0.62681,-0.14225,-0.00087,
0.25000,1.06179,-0.56533,-0.17639,0.22191,0.96110,0.17835,,,0.76602,0.62687,-0.14227,-0.00089,
0.25781,0.85395,-0.81422,-0.14124,0.22388,0.96647,0.17932,,,0.76598,0.62692,-0.14231,-0.00092,
0.26563,1.13107,-0.38755,-0.38727,0.22093,0.95914,0.18610,,,0.76593,0.62698,-0.14231,-0.00095,
0.27344,0.99251,-0.38755,-0.31697,0.22191,0.96354,0.18077,,,0.76588,0.62703,-0.14232,-0.00097,
0.28125,0.88859,-0.45866,-0.31697,0.22191,0.96452,0.18222,,,0.76584,0.62708,-0.14233,-0.00100,
0.28906,0.95787,-0.81422,-0.38727,0.23223,0.96012,0.18029,,,0.76579,0.62714,-0.14235,-0.00105,
0.29688,0.99251,-0.63644,-0.42241,0.23026,0.95963,0.17690,,,0.76574,0.62719,-0.14237,-0.00108,
0.30469,1.09643,-0.35199,-0.63329,0.22044,0.96550,0.18125,,,0.76569,0.62726,-0.14236,-0.00112,
0.31250,0.99251,-0.31644,-0.66844,0.22339,0.97087,0.18803,,,0.76565,0.62731,-0.14235,-0.00116,
0.32031,0.85395,-0.63644,-0.66844,0.23174,0.95865,0.17883,,,0.76560,0.62736,-0.14235,-0.00122,
0.32813,1.09643,-0.31644,-0.77388,0.22290,0.95816,0.18852,,,0.76555,0.62743,-0.14234,-0.00126,
0.33594,0.92323,-0.24533,-0.66844,0.21897,0.96550,0.17883,,,0.76551,0.62748,-0.14232,-0.00129,
0.34375,1.02715,0.11023,-0.91446,0.21897,0.96745,0.18319,,,0.76547,0.62755,-0.14228,-0.00133,
0.35156,0.81931,-0.35199,-0.66844,0.23075,0.96110,0.17641,,,0.76543,0.62760,-0.14227,-0.00137,
0.35938,0.99251,0.11023,-0.70358,0.23174,0.95767,0.18271,,,0.76539,0.62765,-0.14223,-0.00139,
0.36719,1.20035,0.11023,-0.91446,0.21798,0.96599,0.18077,,,0.76534,0.62773,-0.14219,-0.00142,
0.37500,1.20035,-0.06755,-0.84417,0.21504,0.96647,0.18077,,,0.76529,0.62780,-0.14215,-0.00146,
0.38281,0.88859,-0.67200,-0.63329,0.22977,0.96207,0.17496,,,0.76524,0.62785,-0.14216,-0.00151,
0.39063,0.92323,-0.35199,-0.59815,0.22928,0.95914,0.18125,,,0.76520,0.62790,-0.14215,-0.00155,
0.39844,0.99251,0.11023,-0.77388,0.22142,0.96452,0.18029,,,0.76516,0.62796,-0.14212,-0.00158,
0.40625,1.02715,0.03912,-0.59815,0.22191,0.96990,0.18125,,,0.76511,0.62802,-0.14209,-0.00159,
0.41406,0.78467,-0.52977,-0.52785,0.22879,0.96061,0.18368,,,0.76507,0.62807,-0.14209,-0.00164,
0.42188,0.81931,-0.45866,-0.42241,0.22044,0.95767,0.17932,,,0.76503,0.62811,-0.14210,-0.00167,
0.42969,1.09643,0.11023,-0.66844,0.21602,0.96403,0.18319,,,0.76499,0.62818,-0.14206,-0.00169,
0.43750,0.85395,-0.28088,-0.52785,0.22633,0.96696,0.18222,,,0.76495,0.62823,-0.14206,-0.00172,
0.44531,0.75003,-0.45866,-0.45756,0.22142,0.95914,0.18513,,,0.76491,0.62827,-0.14206,-0.00176,
0.45313,1.06179,-0.52977,-0.45756,0.22879,0.96110,0.17738,,,0.76486,0.62833,-0.14207,-0.00179,
0.46094,1.13107,-0.28088,-0.56300,0.22830,0.95767,0.18222,,,0.76481,0.62840,-0.14206,-0.00183,
0.46875,0.99251,-0.20977,-0.45756,0.21798,0.96941,0.18271,,,0.76477,0.62845,-0.14205,-0.00185,
0.47656,0.88859,-0.56533,-0.35212,0.23026,0.96550,0.18368,,,0.76472,0.62850,-0.14207,-0.00188,
0.48438,0.81931,-0.63644,-0.31697,0.22781,0.96061,0.17641,,,0.76468,0.62855,-0.14209,-0.00192,
0.49219,1.13107,-0.10310,-0.42241,0.22388,0.96061,0.17738,,,0.76463,0.62861,-0.14207,-0.00193,
0.50000,0.85395,-0.45866,-0.56300,0.22290,0.96794,0.17302,,,0.76459,0.62866,-0.14207,-0.00197,
0.50781,0.88859,-0.35199,-0.45756,0.22928,0.95865,0.17786,,,0.76455,0.62871,-0.14207,-0.00200,
0.51563,0.92323,-0.38755,-0.49271,0.22633,0.95914,0.17690,,,0.76451,0.62876,-0.14207,-0.00204,
0.52344,1.02715,0.07468,-0.59815,0.22142,0.96061,0.18029,,,0.76446,0.62882,-0.14204,-0.00206,
0.53125,0.88859,-0.35199,-0.66844,0.21749,0.96745,0.17932,,,0.76442,0.62888,-0.14203,-0.00210,
0.53906,0.68075,-0.77866,-0.77388,0.23026,0.96256,0.17593,,,0.76438,0.62892,-0.14204,-0.00216,
0.54688,0.71539,-0.77866,-0.70358,0.23370,0.96110,0.17738,,,0.76435,0.62896,-0.14205,-0.00223,
0.55469,0.95787,-0.13866,-0.73873,0.22682,0.96061,0.18319,,,0.76430,0.62902,-0.14202,-0.00226,
0.56250,0.88859,-0.24533,-0.70358,0.21700,0.97234,0.18513,,,0.76426,0.62907,-0.14201,-0.00230,
0.57031,0.71539,-0.49422,-0.80902,0.22437,0.96892,0.18271,,,0.76423,0.62912,-0.14200,-0.00236,
0.57813,0.78467,-0.52977,-0.59815,0.23125,0.96403,0.18706,,,0.76419,0.62916,-0.14200,-0.00240,
0.58594,0.88859,-0.13866,-0.70358,0.22486,0.96207,0.18222,,,0.76415,0.62922,-0.14198,-0.00244,
0.59375,0.78467,-0.13866,-0.77388,0.21946,0.96110,0.18416,,,0.76411,0.62927,-0.14195,-0.00248,
0.60156,0.75003,-0.56533,-0.77388,0.22535,0.96550,0.18319,,,0.76407,0.62931,-0.14195,-0.00253,
0.60938,0.68075,-0.74311,-0.66844,0.22781,0.95719,0.17980,,,0.76404,0.62935,-0.14196,-0.00259,
0.61719,0.78467,-0.20977,-0.63329,0.22437,0.95767,0.17980,,,0.76400,0.62940,-0.14194,-0.00263,
0.62500,0.81931,-0.28088,-0.84417,0.21504,0.96305,0.18319,,,0.76396,0.62945,-0.14192,-0.00268,
0.63281,0.75003,-0.63644,-0.84417,0.22093,0.96550,0.18174,,,0.76393,0.62950,-0.14192,-0.00274,
0.64063,0.71539,-0.84978,-0.73873,0.23125,0.96061,0.17835,,,0.76389,0.62954,-0.14193,-0.00281,
0.64844,0.92323,0.03912,-0.70358,0.21749,0.96256,0.18561,,,0.76385,0.62960,-0.14190,-0.00283,
0.65625,0.78467,0.18134,-0.73873,0.21504,0.96305,0.18464,,,0.76382,0.62965,-0.14186,-0.00286,
0.66406,0.81931,-0.52977,-0.52785,0.22290,0.96110,0.18513,,,0.76377,0.62969,-0.14186,-0.00290,
0.67188,0.81931,-0.92089,-0.49271,0.22879,0.95670,0.17932,,,0.76373,0.62974,-0.14189,-0.00296,
0.67969,0.88859,-0.45866,-0.49271,0.22584,0.95914,0.18174,,,0.76369,0.62979,-0.14189,-0.00299,
0.68750,0.85395,-0.03199,-0.66844,0.21405,0.96647,0.18416,,,0.76365,0.62984,-0.14187,-0.00302,
