Gait Up - Physilog data export
Created on: YYYY-MM-DD hh:mm:ss
Total data points: 20693

Time [128 hz],Gyro [128 hz],,,Accel [128 hz],,,Baro [1 hz],,Event [128 hz],Quaternion [128 hz],,,,
Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z,Pressure,Temperature,Quat W,Quat X,Quat Y,Quat Z,
[s],[deg/s],[deg/s],[deg/s],[g],[g],[g],[mBar],[degree C],[],[],[],[],
0.00781,0.09163,-0.53150,-0.85082,0.18264,0.91292,0.35730,1020.943,27.9,0.81883,0.56346,-0.10954,-0.00559,
0.01563,-0.01150,-0.46121,-0.95583,0.18312,0.91486,0.35634,,,0.81882,0.56347,-0.10953,-0.00566,
0.02344,-0.01150,-0.53150,-0.81581,0.18166,0.91486,0.35537,,,0.81882,0.56347,-0.10953,-0.00572,
0.03125,-0.08026,-0.46121,-0.60578,0.18361,0.91632,0.35634,,,0.81882,0.56347,-0.10953,-0.00578,
0.03906,0.12601,-0.49635,-0.64079,0.18653,0.92021,0.35682,,,0.81881,0.56349,-0.10953,-0.00583,
0.04688,0.05725,-0.42607,-0.57078,0.17971,0.92069,0.35391,,,0.81881,0.56349,-0.10954,-0.00588,
0.05469,0.29790,-0.35578,-0.60578,0.18264,0.92166,0.35634,,,0.81879,0.56351,-0.10953,-0.00592,
0.06250,0.22914,-0.46121,-0.67579,0.18264,0.92069,0.35488,,,0.81878,0.56353,-0.10953,-0.00598,
0.07031,0.36666,-0.25036,-0.67579,0.18117,0.92264,0.36021,,,0.81876,0.56356,-0.10952,-0.00602,
0.07813,0.43541,-0.25036,-0.57078,0.18702,0.92166,0.36166,,,0.81874,0.56359,-0.10951,-0.00606,
0.08594,0.43541,-0.10979,-0.53577,0.18702,0.91826,0.35634,,,0.81873,0.56361,-0.10950,-0.00609,
0.09375,0.36666,-0.28550,-0.57078,0.18361,0.91826,0.35973,,,0.81871,0.56364,-0.10949,-0.00613,
0.10156,0.43541,-0.28550,-0.46576,0.18458,0.91632,0.35488,,,0.81869,0.56367,-0.10949,-0.00616,
0.10938,0.46979,-0.28550,-0.67579,0.17922,0.91875,0.34859,,,0.81867,0.56370,-0.10948,-0.00621,
0.11719,0.74482,-0.25036,-0.64079,0.18069,0.91195,0.35634,,,0.81864,0.56374,-0.10947,-0.00625,
0.12500,0.81357,0.03078,-0.60578,0.18800,0.91923,0.35730,,,0.81861,0.56379,-0.10945,-0.00627,
0.13281,0.74482,-0.07465,-0.57078,0.18605,0.91972,0.35391,,,0.81858,0.56384,-0.10943,-0.00630,
0.14063,0.77920,-0.00436,-0.53577,0.18166,0.92361,0.35149,,,0.81855,0.56389,-0.10941,-0.00633,
0.14844,0.84795,0.06592,-0.50076,0.18264,0.92118,0.35343,,,0.81852,0.56394,-0.10939,-0.00635,
0.15625,0.84795,0.17135,-0.50076,0.18069,0.92312,0.35488,,,0.81848,0.56399,-0.10936,-0.00636,
0.16406,0.88233,0.24163,-0.50076,0.18507,0.92409,0.35198,,,0.81845,0.56404,-0.10932,-0.00637,
0.17188,0.81357,0.20649,-0.53577,0.18166,0.92555,0.35246,,,0.81842,0.56409,-0.10929,-0.00639,
0.17969,0.60730,0.17135,-0.50076,0.18264,0.93090,0.35827,,,0.81840,0.56413,-0.10926,-0.00641,
