type,name,time_units,begin_time,frequency,count,units
signal,"Force curve","%",0.000,1,100,"N"

time,value
0.000,18.915
1.000,73.931
2.000,125.130
3.000,164.231
4.000,203.844
5.000,260.818
6.000,331.782
7.000,400.342
8.000,456.491
9.000,501.344
10.000,540.419
11.000,581.095
12.000,626.637
13.000,673.003
14.000,712.722
15.000,741.416
16.000,760.244
17.000,771.023
18.000,773.891
19.000,769.385
20.000,758.741
21.000,742.850
22.000,722.871
23.000,700.529
24.000,677.534
25.000,655.908
26.000,636.591
27.000,619.519
28.000,605.354
29.000,594.670
30.000,587.729
31.000,584.843
32.000,585.997
33.000,590.807
34.000,598.415
35.000,607.738
36.000,618.002
37.000,628.775
38.000,639.482
39.000,650.076
40.000,661.693
41.000,676.014
42.000,693.613
43.000,712.622
44.000,730.181
45.000,743.830
46.000,752.525
47.000,756.791
48.000,757.227
49.000,753.546
50.000,745.382
51.000,732.734
52.000,714.274
53.000,687.361
54.000,649.453
55.000,600.283
56.000,541.147
57.000,471.452
58.000,390.712
59.000,303.342
60.000,219.896
61.000,148.296
62.000,89.642
63.000,45.719
64.000,0.000
65.000,0.000
66.000,0.000
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
