type,name,time_units,begin_time,frequency,count,units
signal,"Force curve","%",0.000,1,100,"N"

time,value
0.000,19.506
1.000,80.770
2.000,138.918
3.000,184.544
4.000,230.727
5.000,294.440
6.000,370.537
7.000,442.135
8.000,499.243
9.000,542.965
10.000,581.022
11.000,621.109
12.000,664.083
13.000,705.025
14.000,737.274
15.000,758.583
16.000,771.658
17.000,777.624
18.000,775.354
19.000,764.785
20.000,747.130
21.000,724.749
22.000,700.628
23.000,676.261
24.000,652.645
25.000,631.770
26.000,614.727
27.000,601.242
28.000,591.045
29.000,584.290
30.000,581.587
31.000,583.240
32.000,589.025
33.000,598.229
34.000,609.120
35.000,620.093
36.000,630.443
37.000,639.602
38.000,647.754
39.000,657.330
40.000,670.943
41.000,688.635
42.000,708.522
43.000,727.635
44.000,743.006
45.000,753.048
46.000,757.720
47.000,757.926
48.000,753.919
49.000,745.217
50.000,732.371
51.000,715.958
52.000,694.804
53.000,667.114
54.000,631.825
55.000,588.698
56.000,537.421
57.000,477.313
58.000,408.082
59.000,331.824
60.000,255.002
61.000,183.865
62.000,120.862
63.000,69.449
64.000,33.764
65.000,0.000
66.000,0.000
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
