type,name,time_units,begin_time,frequency,count,units
signal,"Force curve","%",0.000,1,100,"N"

time,value
0.000,32.918
1.000,105.121
2.000,170.172
3.000,225.950
4.000,299.023
5.000,386.127
6.000,462.278
7.000,513.402
8.000,568.899
9.000,615.073
10.000,652.346
11.000,690.926
12.000,733.873
13.000,772.672
14.000,796.991
15.000,818.164
16.000,828.812
17.000,841.746
18.000,840.090
19.000,827.920
20.000,812.545
21.000,814.027
22.000,803.429
23.000,783.718
24.000,759.088
25.000,729.346
26.000,697.027
27.000,669.521
28.000,655.800
29.000,654.201
30.000,656.638
31.000,661.518
32.000,665.820
33.000,669.054
34.000,671.801
35.000,673.225
36.000,676.514
37.000,682.350
38.000,686.426
39.000,692.668
40.000,714.966
41.000,743.406
42.000,764.046
43.000,778.978
44.000,786.487
45.000,798.991
46.000,802.863
47.000,809.350
48.000,816.802
49.000,816.903
50.000,805.892
51.000,788.484
52.000,774.077
53.000,749.723
54.000,712.831
55.000,679.202
56.000,640.854
57.000,588.115
58.000,520.918
59.000,442.797
60.000,349.784
61.000,261.892
62.000,185.131
63.000,116.432
64.000,0.000
65.000,0.000
66.000,0.000
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
