type,name,time_units,begin_time,frequency,count,units
signal,"Force curve","%",0.000,1,100,"N"

time,value
0.000,44.670
1.000,121.330
2.000,205.755
3.000,281.652
4.000,349.446
5.000,439.966
6.000,537.440
7.000,611.101
8.000,658.300
9.000,695.559
10.000,733.487
11.000,772.029
12.000,815.387
13.000,840.428
14.000,849.800
15.000,848.216
16.000,850.722
17.000,849.752
18.000,837.851
19.000,831.471
20.000,821.728
21.000,808.103
22.000,787.439
23.000,764.481
24.000,740.055
25.000,716.939
26.000,697.373
27.000,679.156
28.000,661.757
29.000,650.121
30.000,655.897
31.000,665.813
32.000,674.572
33.000,682.268
34.000,687.162
35.000,686.027
36.000,681.364
37.000,680.043
38.000,686.140
39.000,698.359
40.000,716.943
41.000,743.951
42.000,772.015
43.000,796.029
44.000,813.874
45.000,818.774
46.000,826.129
47.000,837.555
48.000,844.313
49.000,845.616
50.000,837.949
51.000,819.965
52.000,792.481
53.000,758.400
54.000,719.313
55.000,690.829
56.000,652.684
57.000,609.286
58.000,557.459
59.000,494.077
60.000,424.729
61.000,351.023
62.000,275.043
63.000,200.578
64.000,133.405
65.000,0.000
66.000,0.000
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
