type,name,time_units,begin_time,frequency,count,units
signal,"Force curve","%",0.000,1,100,"N"

time,value
0.000,27.093
1.000,89.685
2.000,143.574
3.000,184.029
4.000,230.552
5.000,297.239
6.000,375.727
7.000,448.351
8.000,504.961
9.000,547.829
10.000,584.904
11.000,625.251
12.000,670.422
13.000,714.404
14.000,749.926
15.000,774.310
16.000,790.135
17.000,798.753
18.000,799.316
19.000,793.294
20.000,782.686
21.000,768.029
22.000,749.523
23.000,727.496
24.000,703.744
25.000,680.823
26.000,660.035
27.000,641.599
28.000,625.942
29.000,613.946
30.000,606.247
31.000,603.305
32.000,605.162
33.000,610.929
34.000,619.459
35.000,629.417
36.000,640.163
37.000,651.401
38.000,662.057
39.000,672.350
40.000,684.255
41.000,699.584
42.000,718.475
43.000,738.480
44.000,755.890
45.000,767.966
46.000,774.266
47.000,776.545
48.000,776.339
49.000,773.998
50.000,768.357
51.000,758.001
52.000,741.359
53.000,716.968
54.000,683.949
55.000,641.544
56.000,589.561
57.000,526.717
58.000,450.489
59.000,363.361
60.000,275.373
61.000,194.901
62.000,124.923
63.000,69.763
64.000,0.000
65.000,0.000
66.000,0.000
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
