type,name,time_units,begin_time,frequency,count,units
signal,"Force curve","%",0.000,1,100,"N"

time,value
0.000,29.825
1.000,97.848
2.000,158.533
3.000,206.777
4.000,259.512
5.000,331.095
6.000,412.807
7.000,485.618
8.000,541.346
9.000,584.271
10.000,622.812
11.000,663.739
12.000,706.093
13.000,744.031
14.000,772.423
15.000,790.580
16.000,801.101
17.000,804.482
18.000,800.012
19.000,789.022
20.000,773.007
21.000,752.470
22.000,729.752
23.000,706.637
24.000,683.362
25.000,661.836
26.000,643.719
27.000,628.664
28.000,616.643
29.000,608.337
30.000,604.467
31.000,605.347
32.000,610.682
33.000,619.621
34.000,630.514
35.000,641.347
36.000,651.172
37.000,659.962
38.000,667.586
39.000,676.613
40.000,690.826
41.000,710.335
42.000,731.782
43.000,750.902
44.000,764.862
45.000,772.409
46.000,774.379
47.000,773.603
48.000,770.574
49.000,763.887
50.000,753.058
51.000,738.246
52.000,718.775
53.000,693.545
54.000,661.796
55.000,623.196
56.000,578.248
57.000,525.984
58.000,463.549
59.000,390.624
60.000,313.019
61.000,237.097
62.000,165.673
63.000,103.611
64.000,57.021
65.000,0.000
66.000,0.000
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
