type,name,time_units,begin_time,frequency,count,units
signal,"Force curve","%",0.000,1,100,"N"

time,value
0.000,10.738
1.000,58.178
2.000,106.687
3.000,144.434
4.000,177.137
5.000,224.398
6.000,287.837
7.000,352.332
8.000,408.020
9.000,454.858
10.000,495.935
11.000,536.939
12.000,582.852
13.000,631.603
14.000,675.518
15.000,708.522
16.000,730.352
17.000,743.292
18.000,748.466
19.000,745.475
20.000,734.795
21.000,717.672
22.000,696.220
23.000,673.562
24.000,651.324
25.000,630.992
26.000,613.147
27.000,597.439
28.000,584.766
29.000,575.394
30.000,569.211
31.000,566.382
32.000,566.832
33.000,570.686
34.000,577.370
35.000,586.060
36.000,595.841
37.000,606.148
38.000,616.906
39.000,627.803
40.000,639.130
41.000,652.445
42.000,668.751
43.000,686.764
44.000,704.473
45.000,719.693
46.000,730.783
47.000,737.037
48.000,738.114
49.000,733.095
50.000,722.407
51.000,707.468
52.000,687.189
53.000,657.754
54.000,614.958
55.000,559.023
56.000,492.732
57.000,416.187
58.000,330.934
59.000,243.324
60.000,164.419
61.000,101.690
62.000,54.362
63.000,21.674
64.000,0.000
65.000,0.000
66.000,0.000
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
