type,name,time_units,begin_time,frequency,count,units
signal,"Force curve","%",0.000,1,100,"N"

time,value
0.000,9.187
1.000,63.693
2.000,119.303
3.000,162.311
4.000,201.942
5.000,257.786
6.000,328.266
7.000,398.652
8.000,457.139
9.000,501.658
10.000,539.231
11.000,578.479
12.000,622.073
13.000,666.019
14.000,702.125
15.000,726.586
16.000,742.215
17.000,750.767
18.000,750.696
19.000,740.549
20.000,721.254
21.000,697.028
22.000,671.505
23.000,645.885
24.000,621.927
25.000,601.705
26.000,585.735
27.000,573.820
28.000,565.447
29.000,560.242
30.000,558.706
31.000,561.132
32.000,567.368
33.000,576.837
34.000,587.727
35.000,598.839
36.000,609.714
37.000,619.241
38.000,627.921
39.000,638.046
40.000,651.060
41.000,666.935
42.000,685.263
43.000,704.369
44.000,721.151
45.000,733.686
46.000,741.061
47.000,742.248
48.000,737.263
49.000,726.547
50.000,711.685
51.000,693.671
52.000,670.833
53.000,640.683
54.000,601.854
55.000,554.200
56.000,496.594
57.000,428.643
58.000,352.615
59.000,273.024
60.000,196.984
61.000,130.634
62.000,76.052
63.000,35.288
64.000,10.506
65.000,0.000
66.000,0.000
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
