type,name,time_units,begin_time,frequency,count,units
signal,"Max Pressure Curve","%",0.000,1,100,"N/cm²"

time,value
0.000,3.506
1.000,7.378
2.000,9.898
3.000,10.818
4.000,11.317
5.000,12.037
6.000,12.558
7.000,12.649
8.000,12.512
9.000,12.376
10.000,12.337
11.000,12.436
12.000,12.678
13.000,12.967
14.000,13.142
15.000,13.124
16.000,12.952
17.000,12.670
18.000,12.279
19.000,11.782
20.000,11.226
21.000,10.656
22.000,10.085
23.000,9.536
24.000,9.029
25.000,8.580
26.000,8.191
27.000,7.853
28.000,7.580
29.000,7.383
30.000,7.260
31.000,7.194
32.000,7.166
33.000,7.187
34.000,7.256
35.000,7.345
36.000,7.442
37.000,7.559
38.000,7.721
39.000,7.934
40.000,8.170
41.000,8.424
42.000,8.719
43.000,9.061
44.000,9.438
45.000,9.846
46.000,10.288
47.000,10.765
48.000,11.287
49.000,11.865
50.000,12.427
51.000,12.908
52.000,13.328
53.000,13.700
54.000,14.039
55.000,14.336
56.000,14.524
57.000,14.548
58.000,14.361
59.000,13.884
60.000,12.975
61.000,11.362
62.000,8.895
63.000,5.933
64.000,0.000
65.000,0.000
66.000,0.000
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
