type,name,time_units,begin_time,frequency,count,units
signal,"Max Pressure Curve","%",0.000,1,100,"N/cm²"

time,value
0.000,3.622
1.000,7.523
2.000,10.050
3.000,11.215
4.000,12.122
5.000,13.076
6.000,13.628
7.000,13.677
8.000,13.457
9.000,13.226
10.000,13.119
11.000,13.141
12.000,13.258
13.000,13.412
14.000,13.489
15.000,13.422
16.000,13.255
17.000,13.011
18.000,12.662
19.000,12.218
20.000,11.705
21.000,11.146
22.000,10.596
23.000,10.101
24.000,9.657
25.000,9.262
26.000,8.937
27.000,8.691
28.000,8.494
29.000,8.331
30.000,8.221
31.000,8.172
32.000,8.163
33.000,8.174
34.000,8.197
35.000,8.226
36.000,8.269
37.000,8.321
38.000,8.361
39.000,8.425
40.000,8.566
41.000,8.777
42.000,9.023
43.000,9.318
44.000,9.688
45.000,10.087
46.000,10.496
47.000,10.957
48.000,11.470
49.000,12.025
50.000,12.604
51.000,13.145
52.000,13.630
53.000,14.099
54.000,14.555
55.000,14.943
56.000,15.202
57.000,15.259
58.000,15.010
59.000,14.365
60.000,13.263
61.000,11.625
62.000,9.397
63.000,6.801
64.000,4.298
65.000,0.000
66.000,0.000
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
