type,name,time_units,begin_time,frequency,count,units
signal,"Max Pressure Curve","%",0.000,1,100,"N/cm²"

time,value
0.000,5.265
1.000,9.753
2.000,12.240
3.000,12.914
4.000,13.403
5.000,14.027
6.000,14.646
7.000,14.831
8.000,14.634
9.000,14.201
10.000,14.589
11.000,15.163
12.000,15.686
13.000,15.805
14.000,15.536
15.000,15.249
16.000,15.132
17.000,15.031
18.000,14.848
19.000,14.799
20.000,14.651
21.000,14.139
22.000,13.446
23.000,12.835
24.000,12.307
25.000,11.795
26.000,11.234
27.000,10.772
28.000,10.441
29.000,10.108
30.000,10.326
31.000,10.693
32.000,11.061
33.000,11.212
34.000,11.245
35.000,11.362
36.000,11.512
37.000,11.478
38.000,11.428
39.000,11.563
40.000,11.715
41.000,11.782
42.000,12.051
43.000,12.512
44.000,12.945
45.000,13.212
46.000,13.529
47.000,14.063
48.000,14.680
49.000,15.597
50.000,17.333
51.000,18.883
52.000,20.096
53.000,21.259
54.000,22.253
55.000,22.826
56.000,23.112
57.000,23.230
58.000,22.691
59.000,21.039
60.000,18.628
61.000,15.582
62.000,14.385
63.000,11.831
64.000,0.000
65.000,0.000
66.000,0.000
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
