type,name,time_units,begin_time,frequency,count,units
signal,"Max Pressure Curve","%",0.000,1,100,"N/cm²"

time,value
0.000,5.586
1.000,10.664
2.000,13.750
3.000,14.889
4.000,15.994
5.000,16.967
6.000,17.099
7.000,16.702
8.000,16.940
9.000,16.604
10.000,16.412
11.000,17.186
12.000,17.422
13.000,17.289
14.000,17.206
15.000,17.089
16.000,16.787
17.000,16.479
18.000,15.946
19.000,15.241
20.000,14.741
21.000,14.341
22.000,14.174
23.000,13.891
24.000,13.541
25.000,13.358
26.000,13.175
27.000,12.841
28.000,12.510
29.000,12.592
30.000,12.626
31.000,12.560
32.000,12.363
33.000,12.240
34.000,12.274
35.000,12.173
36.000,12.039
37.000,12.005
38.000,12.145
39.000,12.557
40.000,12.871
41.000,13.250
42.000,13.663
43.000,13.844
44.000,13.893
45.000,14.305
46.000,15.064
47.000,15.559
48.000,15.839
49.000,16.598
50.000,17.688
51.000,18.496
52.000,19.156
53.000,20.147
54.000,20.919
55.000,22.064
56.000,23.379
57.000,24.441
58.000,25.031
59.000,24.509
60.000,22.739
61.000,19.638
62.000,15.509
63.000,12.355
64.000,8.495
65.000,0.000
66.000,0.000
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
