type,name,time_units,begin_time,frequency,count,units
signal,"Max Pressure Curve","%",0.000,1,100,"N/cm²"

time,value
0.000,4.313
1.000,8.410
2.000,10.878
3.000,11.696
4.000,12.263
5.000,13.113
6.000,13.718
7.000,13.827
8.000,13.630
9.000,13.395
10.000,13.261
11.000,13.313
12.000,13.573
13.000,13.892
14.000,14.080
15.000,14.083
16.000,13.939
17.000,13.696
18.000,13.341
19.000,12.876
20.000,12.347
21.000,11.776
22.000,11.166
23.000,10.557
24.000,9.990
25.000,9.484
26.000,9.042
27.000,8.679
28.000,8.396
29.000,8.182
30.000,8.056
31.000,8.024
32.000,8.039
33.000,8.089
34.000,8.172
35.000,8.266
36.000,8.379
37.000,8.518
38.000,8.705
39.000,8.949
40.000,9.215
41.000,9.490
42.000,9.804
43.000,10.150
44.000,10.510
45.000,10.908
46.000,11.345
47.000,11.813
48.000,12.330
49.000,12.913
50.000,13.510
51.000,14.057
52.000,14.596
53.000,15.171
54.000,15.754
55.000,16.310
56.000,16.722
57.000,16.860
58.000,16.635
59.000,15.990
60.000,14.972
61.000,13.456
62.000,11.152
63.000,8.122
64.000,0.000
65.000,0.000
66.000,0.000
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
