type,name,time_units,begin_time,frequency,count,units
signal,"Max Pressure Curve","%",0.000,1,100,"N/cm²"

time,value
0.000,4.600
1.000,8.626
2.000,11.053
3.000,12.142
4.000,13.169
5.000,14.213
6.000,14.791
7.000,14.884
8.000,14.664
9.000,14.384
10.000,14.260
11.000,14.317
12.000,14.447
13.000,14.579
14.000,14.632
15.000,14.551
16.000,14.378
17.000,14.144
18.000,13.810
19.000,13.372
20.000,12.854
21.000,12.288
22.000,11.718
23.000,11.192
24.000,10.716
25.000,10.312
26.000,9.990
27.000,9.748
28.000,9.566
29.000,9.437
30.000,9.363
31.000,9.346
32.000,9.367
33.000,9.402
34.000,9.443
35.000,9.473
36.000,9.496
37.000,9.546
38.000,9.608
39.000,9.686
40.000,9.835
41.000,10.044
42.000,10.256
43.000,10.498
44.000,10.830
45.000,11.226
46.000,11.686
47.000,12.220
48.000,12.778
49.000,13.383
50.000,14.053
51.000,14.713
52.000,15.368
53.000,16.060
54.000,16.761
55.000,17.406
56.000,17.860
57.000,18.055
58.000,17.952
59.000,17.364
60.000,16.139
61.000,14.265
62.000,11.773
63.000,8.932
64.000,6.165
65.000,0.000
66.000,0.000
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
