type,name,time_units,begin_time,frequency,count,units
signal,"Max Pressure Curve","%",0.000,1,100,"N/cm²"

time,value
0.000,2.698
1.000,6.347
2.000,8.918
3.000,9.940
4.000,10.371
5.000,10.961
6.000,11.398
7.000,11.470
8.000,11.395
9.000,11.357
10.000,11.412
11.000,11.560
12.000,11.783
13.000,12.041
14.000,12.203
15.000,12.164
16.000,11.965
17.000,11.645
18.000,11.216
19.000,10.689
20.000,10.106
21.000,9.535
22.000,9.004
23.000,8.515
24.000,8.068
25.000,7.676
26.000,7.340
27.000,7.026
28.000,6.764
29.000,6.585
30.000,6.464
31.000,6.365
32.000,6.293
33.000,6.285
34.000,6.340
35.000,6.423
36.000,6.504
37.000,6.600
38.000,6.738
39.000,6.918
40.000,7.125
41.000,7.359
42.000,7.635
43.000,7.972
44.000,8.366
45.000,8.783
46.000,9.230
47.000,9.717
48.000,10.244
49.000,10.817
50.000,11.344
51.000,11.758
52.000,12.059
53.000,12.230
54.000,12.325
55.000,12.362
56.000,12.327
57.000,12.236
58.000,12.087
59.000,11.779
60.000,10.978
61.000,9.268
62.000,6.638
63.000,3.744
64.000,0.000
65.000,0.000
66.000,0.000
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
