type,name,time_units,begin_time,frequency,count,units
signal,"Max Pressure Curve","%",0.000,1,100,"N/cm²"

time,value
0.000,2.643
1.000,6.420
2.000,9.047
3.000,10.287
4.000,11.074
5.000,11.940
6.000,12.465
7.000,12.469
8.000,12.250
9.000,12.067
10.000,11.977
11.000,11.964
12.000,12.069
13.000,12.246
14.000,12.345
15.000,12.292
16.000,12.133
17.000,11.879
18.000,11.514
19.000,11.064
20.000,10.556
21.000,10.004
22.000,9.473
23.000,9.009
24.000,8.598
25.000,8.212
26.000,7.884
27.000,7.634
28.000,7.422
29.000,7.225
30.000,7.079
31.000,6.999
32.000,6.959
33.000,6.947
34.000,6.951
35.000,6.978
36.000,7.043
37.000,7.096
38.000,7.114
39.000,7.164
40.000,7.298
41.000,7.511
42.000,7.790
43.000,8.139
44.000,8.545
45.000,8.948
46.000,9.307
47.000,9.694
48.000,10.161
49.000,10.666
50.000,11.155
51.000,11.577
52.000,11.893
53.000,12.139
54.000,12.349
55.000,12.480
56.000,12.545
57.000,12.464
58.000,12.067
59.000,11.365
60.000,10.388
61.000,8.985
62.000,7.021
63.000,4.671
64.000,2.432
65.000,0.000
66.000,0.000
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
