type,name,time_units,begin_time,frequency,count,units
signal,"LT Force curve","%",0.000,1,100,"N"

time,value
0.000,0.334
1.000,0.084
2.000,0.000
3.000,0.000
4.000,0.000
5.000,0.000
6.000,0.000
7.000,0.000
8.000,0.000
9.000,0.000
10.000,0.000
11.000,0.000
12.000,0.008
13.000,0.078
14.000,0.446
15.000,1.849
16.000,5.661
17.000,12.624
18.000,22.676
19.000,35.636
20.000,49.729
21.000,63.258
22.000,76.127
23.000,88.973
24.000,101.820
25.000,113.855
26.000,124.738
27.000,135.333
28.000,145.899
29.000,156.027
30.000,164.928
31.000,172.507
32.000,179.553
33.000,186.818
34.000,193.095
35.000,198.622
36.000,203.702
37.000,208.778
38.000,212.971
39.000,216.017
40.000,218.939
41.000,222.340
42.000,225.889
43.000,229.135
44.000,231.745
45.000,234.705
46.000,238.131
47.000,241.960
48.000,246.603
49.000,251.662
50.000,257.785
51.000,264.213
52.000,270.670
53.000,277.120
54.000,283.296
55.000,289.608
56.000,296.560
57.000,304.162
58.000,312.301
59.000,320.745
60.000,329.268
61.000,337.659
62.000,346.440
63.000,356.047
64.000,367.545
65.000,380.887
66.000,396.449
67.000,413.966
68.000,431.595
69.000,449.730
70.000,468.727
71.000,488.286
72.000,508.730
73.000,531.300
74.000,556.070
75.000,580.690
76.000,603.759
77.000,624.448
78.000,642.925
79.000,658.596
80.000,668.999
81.000,672.348
82.000,668.142
83.000,655.773
84.000,636.091
85.000,609.438
86.000,576.227
87.000,536.719
88.000,491.481
89.000,441.268
90.000,387.246
91.000,331.500
92.000,275.718
93.000,221.774
94.000,172.619
95.000,130.002
96.000,93.829
97.000,63.452
98.000,37.234
99.000,12.455
