type,name,time_units,begin_time,frequency,count,units
signal,"RT Force curve","%",0.000,1,100,"N"

time,value
0.000,0.000
1.000,0.000
2.000,0.000
3.000,0.000
4.000,0.000
5.000,0.000
6.000,0.000
7.000,0.000
8.000,0.000
9.000,0.000
10.000,0.000
11.000,0.000
12.000,0.009
13.000,0.108
14.000,0.619
15.000,2.429
16.000,6.874
17.000,14.094
18.000,23.250
19.000,34.096
20.000,45.729
21.000,57.025
22.000,68.016
23.000,79.070
24.000,89.993
25.000,99.855
26.000,108.434
27.000,116.677
28.000,124.955
29.000,132.963
30.000,140.532
31.000,147.255
32.000,153.542
33.000,159.959
34.000,165.881
35.000,171.051
36.000,175.615
37.000,179.444
38.000,182.682
39.000,186.092
40.000,189.374
41.000,191.583
42.000,193.704
43.000,196.538
44.000,199.892
45.000,203.856
46.000,208.039
47.000,212.358
48.000,217.372
49.000,223.577
50.000,230.331
51.000,236.539
52.000,242.397
53.000,248.552
54.000,255.415
55.000,262.273
56.000,268.393
57.000,275.013
58.000,282.708
59.000,291.075
60.000,300.353
61.000,310.443
62.000,321.525
63.000,334.060
64.000,348.208
65.000,365.087
66.000,385.921
67.000,408.610
68.000,430.075
69.000,451.274
70.000,474.310
71.000,498.334
72.000,520.950
73.000,542.029
74.000,563.658
75.000,585.273
76.000,604.180
77.000,620.034
78.000,633.463
79.000,642.954
80.000,645.908
81.000,641.708
82.000,631.297
83.000,614.741
84.000,592.008
85.000,563.730
86.000,530.267
87.000,491.649
88.000,448.063
89.000,400.383
90.000,350.250
91.000,299.560
92.000,249.777
93.000,202.252
94.000,158.294
95.000,118.708
96.000,84.443
97.000,56.211
98.000,32.573
99.000,10.511
