type,name,time_units,begin_time,frequency,count,units
signal,"LT Force curve","%",0.000,1,100,"N"

time,value
0.000,17.893
1.000,51.317
2.000,91.168
3.000,127.228
4.000,151.683
5.000,169.655
6.000,191.105
7.000,222.265
8.000,262.750
9.000,305.290
10.000,338.598
11.000,356.377
12.000,360.701
13.000,355.738
14.000,346.247
15.000,336.492
16.000,328.267
17.000,322.862
18.000,322.686
19.000,323.874
20.000,325.302
21.000,325.137
22.000,322.666
23.000,317.458
24.000,310.234
25.000,303.021
26.000,295.393
27.000,286.084
28.000,274.711
29.000,262.320
30.000,250.430
31.000,239.015
32.000,226.660
33.000,212.963
34.000,200.780
35.000,188.798
36.000,177.145
37.000,164.787
38.000,153.235
39.000,143.856
40.000,135.515
41.000,127.349
42.000,119.858
43.000,113.771
44.000,109.172
45.000,104.649
46.000,99.993
47.000,95.954
48.000,92.030
49.000,88.971
50.000,85.615
51.000,82.579
52.000,80.214
53.000,78.142
54.000,76.471
55.000,74.954
56.000,73.092
57.000,70.941
58.000,68.743
59.000,66.415
60.000,63.993
61.000,61.483
62.000,58.498
63.000,55.787
64.000,52.958
65.000,50.025
66.000,46.540
67.000,42.114
68.000,37.227
69.000,31.941
70.000,26.315
71.000,20.712
72.000,15.421
73.000,10.579
74.000,6.474
75.000,3.499
76.000,1.765
77.000,0.851
78.000,0.370
79.000,0.133
80.000,0.040
81.000,0.007
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
