type,name,time_units,begin_time,frequency,count,units
signal,"RT Force curve","%",0.000,1,100,"N"

time,value
0.000,19.498
1.000,57.007
2.000,101.445
3.000,142.212
4.000,170.761
5.000,192.953
6.000,219.279
7.000,255.240
8.000,298.411
9.000,339.483
10.000,367.614
11.000,378.277
12.000,375.233
13.000,364.744
14.000,352.018
15.000,340.623
16.000,331.401
17.000,324.937
18.000,321.274
19.000,319.296
20.000,317.803
21.000,315.113
22.000,310.190
23.000,302.973
24.000,294.766
25.000,287.073
26.000,279.514
27.000,270.502
28.000,259.980
29.000,248.672
30.000,236.418
31.000,223.611
32.000,209.893
33.000,195.198
34.000,181.224
35.000,168.758
36.000,157.410
37.000,147.428
38.000,139.209
39.000,131.536
40.000,124.446
41.000,119.317
42.000,115.026
43.000,110.597
44.000,106.383
45.000,102.643
46.000,99.787
47.000,97.428
48.000,95.151
49.000,92.868
50.000,91.196
51.000,90.843
52.000,91.174
53.000,91.030
54.000,89.628
55.000,88.003
56.000,86.834
57.000,84.840
58.000,81.992
59.000,79.120
60.000,76.242
61.000,73.423
62.000,70.537
63.000,67.480
64.000,64.039
65.000,58.965
66.000,51.608
67.000,43.417
68.000,35.778
69.000,28.339
70.000,20.847
71.000,14.060
72.000,8.769
73.000,5.045
74.000,2.523
75.000,0.997
76.000,0.281
77.000,0.051
78.000,0.005
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
