type,name,time_units,begin_time,frequency,count,units
signal,"LT Force curve","%",0.000,1,100,"N"

time,value
0.000,0.000
1.000,0.000
2.000,0.000
3.000,0.000
4.000,0.000
5.000,0.001
6.000,0.016
7.000,0.107
8.000,1.146
9.000,6.512
10.000,21.136
11.000,46.533
12.000,79.487
13.000,115.831
14.000,151.459
15.000,183.349
16.000,211.361
17.000,235.243
18.000,254.180
19.000,272.614
20.000,289.783
21.000,304.578
22.000,317.142
23.000,328.250
24.000,337.857
25.000,344.732
26.000,349.109
27.000,352.216
28.000,354.376
29.000,354.729
30.000,352.963
31.000,349.571
32.000,345.087
33.000,339.058
34.000,331.142
35.000,323.434
36.000,316.008
37.000,309.003
38.000,301.812
39.000,293.765
40.000,285.886
41.000,279.045
42.000,272.685
43.000,266.483
44.000,260.743
45.000,255.858
46.000,252.042
47.000,248.869
48.000,246.503
49.000,244.727
50.000,243.785
51.000,243.660
52.000,244.208
53.000,245.503
54.000,246.987
55.000,248.487
56.000,250.096
57.000,251.552
58.000,252.500
59.000,253.308
60.000,254.213
61.000,255.104
62.000,256.352
63.000,257.840
64.000,259.233
65.000,260.585
66.000,261.525
67.000,261.217
68.000,259.571
69.000,256.100
70.000,250.231
71.000,241.908
72.000,230.448
73.000,214.552
74.000,194.479
75.000,171.978
76.000,148.291
77.000,124.268
78.000,99.917
79.000,75.319
80.000,53.426
81.000,36.224
82.000,23.255
83.000,14.083
84.000,7.712
85.000,3.688
86.000,1.431
87.000,0.432
88.000,0.096
89.000,0.013
90.000,0.001
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
