type,name,time_units,begin_time,frequency,count,units
signal,"RT Force curve","%",0.000,1,100,"N"

time,value
0.000,0.000
1.000,0.000
2.000,0.000
3.000,0.000
4.000,0.000
5.000,0.000
6.000,0.033
7.000,0.543
8.000,3.707
9.000,14.058
10.000,36.123
11.000,70.342
12.000,111.298
13.000,152.482
14.000,190.518
15.000,224.389
16.000,254.643
17.000,281.171
18.000,304.278
19.000,324.986
20.000,342.554
21.000,356.216
22.000,366.652
23.000,375.263
24.000,382.377
25.000,387.392
26.000,390.270
27.000,391.296
28.000,390.049
29.000,386.440
30.000,381.230
31.000,374.616
32.000,366.769
33.000,358.015
34.000,349.136
35.000,340.838
36.000,332.586
37.000,323.832
38.000,314.818
39.000,306.576
40.000,299.596
41.000,293.369
42.000,287.977
43.000,283.537
44.000,279.715
45.000,276.361
46.000,273.739
47.000,272.277
48.000,271.787
49.000,272.252
50.000,273.413
51.000,274.399
52.000,275.255
53.000,276.486
54.000,278.149
55.000,279.714
56.000,280.903
57.000,281.639
58.000,281.719
59.000,281.686
60.000,282.153
61.000,283.485
62.000,285.912
63.000,288.934
64.000,291.590
65.000,293.125
66.000,292.392
67.000,288.617
68.000,282.577
69.000,274.090
70.000,261.723
71.000,245.697
72.000,228.014
73.000,208.671
74.000,185.398
75.000,159.359
76.000,133.850
77.000,109.278
78.000,85.050
79.000,62.237
80.000,43.342
81.000,29.368
82.000,18.907
83.000,11.066
84.000,5.753
85.000,2.551
86.000,0.920
87.000,0.262
88.000,0.048
89.000,0.002
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
