type,name,time_units,begin_time,frequency,count,units
signal,"LT Force curve","%",0.000,1,100,"N"

time,value
0.000,18.227
1.000,51.401
2.000,91.168
3.000,127.228
4.000,151.683
5.000,169.657
6.000,191.121
7.000,222.372
8.000,263.897
9.000,311.801
10.000,359.734
11.000,402.910
12.000,440.197
13.000,471.647
14.000,498.152
15.000,521.690
16.000,545.289
17.000,570.728
18.000,599.543
19.000,632.124
20.000,664.814
21.000,692.974
22.000,715.935
23.000,734.681
24.000,749.911
25.000,761.608
26.000,769.240
27.000,773.633
28.000,774.986
29.000,773.077
30.000,768.321
31.000,761.093
32.000,751.301
33.000,738.839
34.000,725.017
35.000,710.854
36.000,696.855
37.000,682.569
38.000,668.018
39.000,653.639
40.000,640.341
41.000,628.734
42.000,618.432
43.000,609.389
44.000,601.660
45.000,595.213
46.000,590.166
47.000,586.784
48.000,585.136
49.000,585.359
50.000,587.185
51.000,590.452
52.000,595.093
53.000,600.766
54.000,606.754
55.000,613.049
56.000,619.747
57.000,626.655
58.000,633.544
59.000,640.467
60.000,647.474
61.000,654.246
62.000,661.290
63.000,669.674
64.000,679.736
65.000,691.498
66.000,704.514
67.000,717.297
68.000,728.392
69.000,737.771
70.000,745.273
71.000,750.907
72.000,754.599
73.000,756.431
74.000,757.023
75.000,756.167
76.000,753.815
77.000,749.567
78.000,743.212
79.000,734.048
80.000,722.465
81.000,708.579
82.000,691.397
83.000,669.856
84.000,643.802
85.000,613.126
86.000,577.658
87.000,537.151
88.000,491.577
89.000,441.280
90.000,387.247
91.000,331.500
92.000,275.718
93.000,221.774
94.000,172.619
95.000,130.002
96.000,93.829
97.000,63.452
98.000,37.234
99.000,12.455
