type,name,time_units,begin_time,frequency,count,units
signal,"RT Force curve","%",0.000,1,100,"N"

time,value
0.000,19.498
1.000,57.007
2.000,101.445
3.000,142.212
4.000,170.761
5.000,192.953
6.000,219.311
7.000,255.783
8.000,302.118
9.000,353.541
10.000,403.738
11.000,448.619
12.000,486.540
13.000,517.334
14.000,543.155
15.000,567.440
16.000,592.918
17.000,620.203
18.000,648.802
19.000,678.378
20.000,706.086
21.000,728.354
22.000,744.858
23.000,757.306
24.000,767.137
25.000,774.320
26.000,778.218
27.000,778.475
28.000,774.984
29.000,768.076
30.000,758.180
31.000,745.482
32.000,730.204
33.000,713.172
34.000,696.242
35.000,680.648
36.000,665.611
37.000,650.704
38.000,636.709
39.000,624.204
40.000,613.417
41.000,604.269
42.000,596.707
43.000,590.673
44.000,585.991
45.000,582.860
46.000,581.565
47.000,582.063
48.000,584.310
49.000,588.697
50.000,594.941
51.000,601.782
52.000,608.826
53.000,616.069
54.000,623.192
55.000,629.989
56.000,636.130
57.000,641.493
58.000,646.419
59.000,651.882
60.000,658.748
61.000,667.351
62.000,677.974
63.000,690.475
64.000,703.837
65.000,717.176
66.000,729.922
67.000,740.643
68.000,748.430
69.000,753.703
70.000,756.879
71.000,758.091
72.000,757.733
73.000,755.745
74.000,751.578
75.000,745.629
76.000,738.311
77.000,729.363
78.000,718.518
79.000,705.191
80.000,689.250
81.000,671.077
82.000,650.203
83.000,625.807
84.000,597.762
85.000,566.281
86.000,531.186
87.000,491.911
88.000,448.110
89.000,400.385
90.000,350.250
91.000,299.560
92.000,249.777
93.000,202.252
94.000,158.294
95.000,118.708
96.000,84.443
97.000,56.211
98.000,32.573
99.000,10.511
