type,name,time_units,begin_time,frequency,count,units
signal,"LT Pressure plots, Stance, Force curve","s",0.000,128,50,"N"

time,value
0.000,33.182
0.008,104.513
0.016,159.503
0.023,214.072
0.031,290.401
0.039,377.753
0.047,452.152
0.055,508.946
0.063,560.519
0.070,617.896
0.078,676.000
0.086,722.224
0.094,752.609
0.102,768.795
0.109,771.780
0.117,762.564
0.125,743.165
0.133,717.431
0.141,689.127
0.148,660.819
0.156,635.406
0.164,614.862
0.172,599.481
0.180,589.729
0.188,586.498
0.195,589.912
0.203,598.569
0.211,610.328
0.219,623.612
0.227,637.413
0.234,651.231
0.242,666.694
0.250,686.657
0.258,710.168
0.266,731.808
0.273,746.907
0.281,754.485
0.289,755.482
0.297,749.884
0.305,736.276
0.313,712.884
0.320,676.685
0.328,623.962
0.336,552.485
0.344,462.051
0.352,357.095
0.359,249.482
0.367,154.600
0.375,80.226
0.383,20.165
