type,name,time_units,begin_time,frequency,count,units
signal,"RT Pressure plots, Stance, Force curve","s",0.000,128,50,"N"

time,value
0.000,36.033
0.008,116.962
0.016,180.933
0.023,244.821
0.031,329.574
0.039,421.825
0.047,497.356
0.055,554.521
0.063,607.517
0.070,663.319
0.078,713.490
0.086,748.412
0.094,768.392
0.102,775.587
0.109,769.208
0.117,749.569
0.125,720.503
0.133,688.685
0.141,658.360
0.148,631.383
0.156,610.010
0.164,594.858
0.172,585.693
0.180,583.242
0.188,588.077
0.195,598.875
0.203,612.514
0.211,626.276
0.219,638.510
0.227,649.936
0.234,664.474
0.242,685.132
0.250,710.006
0.258,733.175
0.266,749.134
0.273,756.204
0.281,755.405
0.289,747.464
0.297,732.432
0.305,709.762
0.313,677.916
0.320,634.828
0.328,578.670
0.336,507.901
0.344,421.834
0.352,325.059
0.359,228.233
0.367,142.207
0.375,73.190
0.383,17.849
