type,name,time_units,begin_time,frequency,count,units
signal_2d,"LT Pressure plots, Stance, Gait line","s",0.000,128,50,"mm"

time,x,y
0.000,15.141,-133.314
0.008,16.565,-129.212
0.016,18.462,-122.671
0.023,19.099,-114.173
0.031,17.551,-104.546
0.039,15.005,-94.162
0.047,12.301,-84.070
0.055,9.627,-74.924
0.063,7.410,-66.523
0.070,5.994,-58.788
0.078,5.300,-52.025
0.086,4.862,-46.176
0.094,4.250,-40.759
0.102,3.397,-35.601
0.109,2.424,-30.748
0.117,1.436,-26.106
0.125,0.517,-21.520
0.133,-0.259,-17.027
0.141,-0.901,-12.706
0.148,-1.494,-8.589
0.156,-2.077,-4.825
0.164,-2.665,-1.480
0.172,-3.294,1.519
0.180,-3.991,4.320
0.188,-4.730,7.025
0.195,-5.429,9.538
0.203,-6.027,11.755
0.211,-6.523,13.791
0.219,-6.956,15.867
0.227,-7.380,18.098
0.234,-7.842,20.485
0.242,-8.297,23.019
0.250,-8.675,25.827
0.258,-8.985,29.280
0.266,-9.253,33.696
0.273,-9.463,39.122
0.281,-9.541,45.576
0.289,-9.381,52.820
0.297,-8.905,60.159
0.305,-8.093,66.998
0.313,-6.990,73.093
0.320,-5.658,78.598
0.328,-4.132,84.121
0.336,-2.524,90.209
0.344,-0.974,97.176
0.352,0.443,105.386
0.359,1.627,114.968
0.367,2.047,124.913
0.375,0.616,133.879
0.383,-2.775,141.958
