type,name,time_units,begin_time,frequency,count,units
signal_2d,"RT Pressure plots, Stance, Gait line","s",0.000,128,50,"mm"

time,x,y
0.000,2.353,-135.311
0.008,0.841,-130.533
0.016,-1.002,-123.305
0.023,-1.789,-113.998
0.031,-1.185,-103.381
0.039,-0.124,-92.013
0.047,1.084,-81.132
0.055,2.256,-71.551
0.063,3.093,-63.155
0.070,3.555,-55.856
0.078,3.721,-49.791
0.086,3.801,-44.645
0.094,3.943,-39.930
0.102,4.125,-35.503
0.109,4.356,-31.221
0.117,4.656,-26.847
0.125,4.959,-22.302
0.133,5.187,-17.816
0.141,5.351,-13.727
0.148,5.518,-10.125
0.156,5.746,-6.996
0.164,6.064,-4.272
0.172,6.426,-1.766
0.180,6.744,0.594
0.188,6.938,2.786
0.195,6.980,4.734
0.203,6.918,6.481
0.211,6.811,8.290
0.219,6.706,10.407
0.227,6.630,12.898
0.234,6.567,15.595
0.242,6.495,18.506
0.250,6.384,22.216
0.258,6.190,27.373
0.266,5.885,33.882
0.273,5.411,41.103
0.281,4.687,48.535
0.289,3.710,55.941
0.297,2.514,63.044
0.305,1.128,69.478
0.313,-0.414,75.153
0.320,-2.134,80.458
0.328,-4.050,86.021
0.336,-6.091,92.280
0.344,-8.244,99.551
0.352,-10.549,108.039
0.359,-12.666,117.312
0.367,-13.582,126.450
0.375,-12.207,134.831
0.383,-8.791,142.547
