type,name,time_units,begin_time,frequency,count,units,cell_count_x,cell_count_y,cell_size_mm_x,cell_size_mm_y
signal_matrix,"RT Three foot zone analysis, zones graph, Forefootright","s",0.000,1,1,"N/cm²",16,22,8.469,8.469

time,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
0.000,0.000,0.000,0.027,0.104,0.269,0.213,0.039,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,0.000,0.023,0.398,1.299,1.849,1.763,1.014,0.440,0.077,0.006,0.000,0.000,0.000,0.000,0.000,0.000
,0.013,0.512,2.225,4.236,5.541,5.395,3.995,2.254,1.254,0.354,0.018,0.000,0.000,0.000,0.000,0.000
,0.265,2.156,5.866,9.031,11.467,11.289,8.460,5.358,3.188,1.716,0.414,0.029,0.000,0.000,0.000,0.000
,0.630,4.036,9.644,14.156,17.912,17.152,12.478,8.256,5.378,3.488,1.557,0.403,0.021,0.000,0.000,0.000
,0.897,5.533,11.496,16.107,19.920,18.275,13.295,9.432,7.023,5.334,3.353,1.694,0.463,0.040,0.001,0.000
,0.976,5.920,11.437,15.462,18.546,16.551,12.393,9.765,8.608,7.507,6.133,4.218,2.330,0.590,0.035,0.000
,0.941,5.717,10.446,13.500,15.332,13.558,11.635,10.352,9.287,7.998,7.733,7.333,5.268,2.448,0.207,0.001
,0.776,5.123,9.290,11.817,13.203,11.792,11.665,11.563,10.636,10.310,11.342,10.916,8.442,4.565,0.920,0.036
,0.655,4.001,7.762,10.513,12.095,12.493,12.940,13.267,12.859,13.275,15.030,14.253,11.031,6.613,1.947,0.119
,0.642,3.323,7.378,10.549,12.249,13.397,13.709,14.316,14.534,14.358,16.257,15.982,13.327,8.777,3.108,0.200
,0.466,2.799,6.638,10.079,11.924,12.770,13.264,13.881,15.043,14.516,17.010,17.047,14.464,9.779,3.983,0.289
,0.227,2.546,5.849,9.190,11.802,11.797,12.721,13.315,14.925,14.556,17.316,17.512,15.250,10.224,4.469,0.457
,0.133,1.784,4.449,6.896,9.125,9.842,11.091,11.404,12.328,12.569,14.406,15.005,13.911,9.781,4.360,0.496
,0.020,0.495,2.406,4.525,6.256,7.526,8.632,9.480,10.009,9.999,10.695,12.171,11.752,8.190,3.917,0.328
,0.000,0.092,0.727,2.015,3.440,4.586,5.582,6.576,7.084,7.379,9.653,12.343,11.590,6.349,3.182,0.206
,0.000,0.001,0.029,0.332,1.236,1.899,2.482,3.409,3.988,5.555,9.221,11.978,10.462,4.972,1.604,0.082
,0.000,0.000,0.000,0.009,0.137,0.238,0.354,1.159,2.092,4.034,7.272,9.450,7.604,3.432,0.581,0.008
,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.116,0.505,2.699,5.423,7.344,5.161,1.893,0.179,0.000
,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.088,1.253,3.532,5.112,2.968,0.535,0.019,0.000
,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.264,1.628,2.231,0.962,0.095,0.000,0.000
,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.029,0.408,0.424,0.070,0.000,0.000,0.000

