type,name,time_units,begin_time,frequency,count,units,cell_count_x,cell_count_y,cell_size_mm_x,cell_size_mm_y
signal_matrix,"RT Pressure plots, Stance, Maximum","s",0.000,1,1,"N/cm²",18,41,8.469,8.469

time,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.003,0.003,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,0.000,0.000,0.000,0.000,0.000,0.003,0.093,0.446,0.678,0.575,0.327,0.085,0.008,0.000,0.000,0.000,0.000,0.000
,0.000,0.000,0.000,0.000,0.003,0.135,1.076,2.752,4.285,3.785,2.857,1.380,0.291,0.009,0.000,0.000,0.000,0.000
,0.000,0.000,0.000,0.000,0.046,0.916,3.322,6.145,8.556,9.065,7.799,4.421,1.525,0.279,0.004,0.000,0.000,0.000
,0.000,0.000,0.000,0.009,0.239,1.638,4.484,8.547,12.727,15.174,13.607,8.515,3.876,0.937,0.019,0.000,0.000,0.000
,0.000,0.000,0.008,0.234,1.412,3.042,5.377,9.588,14.735,18.550,18.135,12.719,7.003,1.879,0.101,0.000,0.000,0.000
,0.000,0.019,0.275,1.554,3.140,4.675,6.665,10.764,16.574,19.873,19.697,15.118,9.175,3.339,0.350,0.001,0.000,0.000
,0.000,0.216,1.510,3.561,4.870,5.892,7.459,10.438,15.568,19.835,19.825,16.204,10.452,4.425,0.839,0.006,0.000,0.000
,0.001,0.458,2.485,5.215,6.376,7.123,8.273,10.401,14.021,17.690,18.479,16.093,11.062,5.660,1.453,0.030,0.000,0.000
,0.029,1.067,3.430,6.418,7.297,7.537,9.222,11.074,13.613,15.448,16.423,15.206,11.110,6.248,1.784,0.060,0.000,0.000
,0.172,1.697,5.042,7.490,7.867,8.031,9.912,11.793,13.614,14.571,15.186,14.385,11.075,6.516,1.974,0.051,0.000,0.000
,0.290,2.654,7.063,9.414,9.354,9.647,11.376,13.060,14.350,15.082,15.268,14.437,11.331,6.286,2.029,0.074,0.000,0.000
,0.502,3.631,8.445,10.895,11.357,11.437,12.648,14.208,15.065,15.646,15.665,14.452,11.740,6.612,2.365,0.099,0.000,0.000
,0.608,4.150,9.117,11.631,12.590,12.465,13.042,13.943,14.504,14.933,14.904,13.980,11.242,7.451,3.019,0.124,0.000,0.000
,0.626,4.564,9.630,12.373,13.376,13.207,13.420,13.913,14.256,14.413,14.071,13.597,10.091,7.047,2.756,0.212,0.000,0.000
,0.700,4.599,9.564,12.349,13.584,13.065,12.799,12.836,13.011,13.105,12.460,11.768,9.114,5.988,2.503,0.488,0.001,0.000
,0.618,4.185,8.743,11.663,13.412,12.906,11.756,11.238,11.077,10.953,10.668,9.898,8.001,5.126,2.252,0.456,0.000,0.000
,0.488,3.542,8.252,10.854,12.210,11.758,10.450,9.538,8.980,8.008,7.949,7.213,6.314,4.442,1.799,0.257,0.000,0.000
,0.236,2.243,6.356,8.936,9.980,9.772,8.590,7.640,6.823,5.767,5.300,5.002,4.570,3.356,1.175,0.051,0.000,0.000
,0.054,1.294,4.381,7.856,9.570,9.802,8.988,7.594,6.375,5.316,4.986,4.705,3.983,2.604,0.808,0.030,0.000,0.000
,0.007,0.623,3.095,6.841,9.900,10.402,9.687,8.085,6.066,5.322,5.062,4.869,4.220,2.253,0.662,0.020,0.000,0.000
,0.000,0.110,1.717,5.067,8.760,10.158,9.711,8.247,6.468,5.640,5.477,5.162,4.239,2.353,0.522,0.003,0.000,0.000
,0.000,0.053,1.508,3.789,6.819,9.481,9.483,8.642,7.480,6.825,6.374,5.898,4.394,2.081,0.429,0.000,0.000,0.000
,0.000,0.024,0.805,2.705,4.930,8.241,9.344,9.187,8.586,7.429,7.015,7.298,6.286,3.195,0.755,0.067,0.000,0.000
,0.000,0.001,0.099,1.211,3.245,6.514,9.379,10.242,9.442,7.672,7.922,9.964,9.464,5.798,1.909,0.377,0.000,0.000
,0.000,0.000,0.002,0.343,2.147,6.234,9.901,11.726,10.943,8.268,8.589,11.829,12.447,8.703,3.652,0.608,0.005,0.000
,0.000,0.000,0.000,0.212,2.079,6.783,10.817,12.758,12.372,8.961,8.932,12.703,14.643,11.373,5.918,1.635,0.081,0.000
,0.000,0.000,0.000,0.307,2.419,6.988,11.832,14.217,13.820,9.690,8.414,13.070,15.564,13.581,8.134,3.034,0.508,0.001
,0.000,0.000,0.000,0.170,1.903,6.521,11.752,15.064,14.783,10.172,7.614,12.650,16.000,14.894,10.314,4.525,1.027,0.017
