type,name,time_units,begin_time,frequency,count,units,cell_count_x,cell_count_y,cell_size_mm_x,cell_size_mm_y
signal_matrix,"RT Three foot zone analysis, zones graph, Midfootleft","s",0.000,1,1,"N/cm²",16,35,8.469,8.469

time,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.108,0.438,0.251,0.013,0.000,0.000
,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.016,0.364,1.476,2.281,1.696,0.355,0.025,0.000
,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.413,1.993,4.113,5.051,4.223,1.891,0.321,0.001
,0.000,0.000,0.000,0.000,0.000,0.000,0.018,0.301,1.726,4.118,6.272,7.133,6.314,3.713,0.867,0.001
,0.000,0.000,0.000,0.007,0.039,0.059,0.462,1.762,3.401,5.430,7.191,8.320,7.440,4.750,1.098,0.006
,0.000,0.000,0.042,0.290,0.897,1.108,2.029,3.400,4.478,5.663,7.092,7.847,6.972,4.466,1.340,0.072
,0.000,0.048,0.500,1.691,2.728,2.961,3.566,4.622,5.290,5.779,6.668,6.725,5.875,3.546,1.048,0.057
,0.000,0.571,1.917,3.705,5.053,5.083,5.020,5.583,5.954,6.461,6.876,6.373,5.511,3.246,0.831,0.037
,0.040,1.546,3.849,5.396,7.138,7.015,6.731,6.675,6.599,6.934,6.908,6.565,5.409,3.258,1.268,0.109
,0.208,2.107,4.497,6.791,8.637,8.221,7.735,7.851,7.231,7.144,6.945,6.202,5.344,3.310,1.385,0.086
,0.274,2.403,5.538,7.770,9.013,8.832,8.208,7.924,7.404,7.189,6.965,6.205,5.082,3.011,1.176,0.056
,0.407,2.894,6.139,8.416,9.111,8.708,7.866,7.329,7.295,7.479,6.836,6.336,4.835,3.004,1.048,0.066
,0.493,3.084,6.126,8.184,9.142,8.063,6.776,6.637,6.737,6.825,6.599,6.121,4.696,2.780,0.951,0.053
,0.242,2.248,5.499,7.630,8.000,7.270,6.098,5.715,5.982,5.733,5.736,5.165,3.832,1.783,0.479,0.016
,0.046,1.365,4.917,8.465,8.544,7.872,6.689,5.378,4.513,4.037,3.856,3.482,2.641,1.042,0.139,0.000
,0.017,1.045,4.707,9.134,10.155,8.789,7.116,5.501,4.473,3.715,3.335,2.932,2.114,0.664,0.016,0.000
,0.002,0.777,3.988,8.473,10.482,9.512,7.381,5.097,4.047,3.542,3.301,2.935,1.877,0.485,0.001,0.000
,0.000,0.315,2.871,7.503,9.797,9.706,8.002,6.018,4.315,3.319,3.135,2.402,1.522,0.364,0.000,0.000
,0.000,0.080,1.507,5.708,9.463,9.833,8.362,6.701,5.059,3.659,3.122,2.031,0.835,0.178,0.000,0.000
,0.000,0.039,1.003,4.355,9.000,10.443,9.022,6.753,4.667,4.053,3.514,2.090,0.506,0.008,0.000,0.000
,0.000,0.005,0.666,3.561,8.578,10.671,9.553,6.789,4.424,4.613,4.471,2.753,0.905,0.058,0.000,0.000
,0.000,0.004,0.557,3.773,9.043,11.390,10.553,7.017,5.189,6.203,6.462,4.350,1.592,0.163,0.000,0.000
,0.000,0.000,0.627,4.338,9.736,11.720,11.470,7.610,5.514,7.584,8.394,6.213,2.578,0.633,0.077,0.000
,0.000,0.007,0.884,4.852,9.865,12.214,12.081,7.925,5.398,8.016,9.547,8.001,4.065,1.470,0.264,0.000
,0.000,0.023,1.101,4.992,9.942,12.520,12.057,8.014,5.143,7.965,10.157,9.233,5.522,1.564,0.149,0.000
,0.000,0.005,0.962,4.916,9.737,12.480,12.037,7.545,4.681,7.797,10.546,10.123,6.401,2.072,0.150,0.000
,0.000,0.006,0.858,4.298,9.121,12.378,11.987,7.008,4.170,7.427,10.560,10.606,7.576,3.252,0.464,0.000
,0.000,0.011,0.600,3.584,8.306,12.009,11.842,6.558,3.698,6.775,10.167,10.667,8.368,4.054,0.603,0.000
,0.000,0.001,0.189,2.468,6.297,10.244,11.231,6.738,3.829,6.212,9.742,10.563,8.538,4.370,0.551,0.000
,0.000,0.000,0.046,1.012,4.062,7.481,9.503,6.558,4.177,6.104,9.325,9.936,7.975,4.146,0.399,0.000
,0.000,0.000,0.000,0.207,1.718,4.356,6.698,6.188,4.333,5.643,7.992,7.875,6.074,2.988,0.204,0.000
,0.000,0.000,0.000,0.000,0.333,1.852,3.660,4.394,3.496,4.353,5.751,5.102,3.067,0.889,0.033,0.000
,0.000,0.000,0.000,0.000,0.005,0.462,1.398,2.138,2.255,2.629,3.051,2.407,0.688,0.040,0.000,0.000
,0.000,0.000,0.000,0.000,0.000,0.019,0.108,0.274,0.425,0.540,0.651,0.429,0.012,0.000,0.000,0.000

