type,name,time_units,begin_time,frequency,count,units,cell_count_x,cell_count_y,cell_size_mm_x,cell_size_mm_y
signal_matrix,"RT Pressure plot 3d, Stance, Average","s",0.000,1,1,"N/cm²",18,40,8.469,8.469

time,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.004,0.005,0.003,0.001,0.000,0.000,0.000,0.000,0.000,0.000
,0.000,0.000,0.000,0.000,0.000,0.000,0.021,0.210,0.535,0.600,0.399,0.123,0.009,0.000,0.000,0.000,0.000,0.000
,0.000,0.000,0.000,0.000,0.000,0.005,0.202,1.324,2.761,3.131,2.438,1.181,0.221,0.007,0.000,0.000,0.000,0.000
,0.000,0.000,0.000,0.000,0.002,0.067,0.841,3.134,5.687,6.871,6.120,3.892,1.402,0.147,0.002,0.000,0.000,0.000
,0.000,0.000,0.000,0.002,0.045,0.399,1.853,4.685,8.090,10.677,10.587,7.637,3.641,0.773,0.027,0.000,0.000,0.000
,0.000,0.000,0.002,0.058,0.401,1.308,2.890,5.458,9.069,12.648,13.781,11.083,6.110,1.841,0.115,0.000,0.000,0.000
,0.000,0.000,0.038,0.459,1.500,2.676,3.859,5.800,8.941,12.514,14.505,12.828,7.955,2.988,0.321,0.002,0.000,0.000
,0.000,0.006,0.266,1.542,3.017,3.951,4.835,6.239,8.512,11.495,13.609,12.935,8.917,4.002,0.672,0.009,0.000,0.000
,0.000,0.042,0.794,2.773,4.213,4.963,5.907,7.157,8.730,10.872,12.493,12.267,9.170,4.634,1.009,0.024,0.000,0.000
,0.000,0.140,1.434,3.512,4.761,5.635,7.005,8.471,9.667,10.777,11.652,11.508,9.024,4.915,1.236,0.037,0.000,0.000
,0.006,0.417,2.359,4.255,5.301,6.364,7.979,9.520,10.467,10.898,11.108,10.757,8.586,4.835,1.307,0.045,0.000,0.000
,0.031,0.924,3.491,5.488,6.721,7.864,9.320,10.757,11.425,11.488,11.229,10.461,8.401,4.681,1.352,0.056,0.000,0.000
,0.081,1.504,4.486,6.754,8.273,9.350,10.676,11.766,12.173,11.958,11.342,10.264,8.130,4.671,1.482,0.075,0.000,0.000
,0.134,1.999,5.209,7.674,9.277,10.025,11.228,11.814,11.987,11.745,10.935,9.854,7.532,4.600,1.474,0.077,0.000,0.000
,0.160,2.258,5.578,8.175,9.778,10.164,10.883,11.062,11.036,10.747,9.957,8.956,6.805,4.105,1.228,0.057,0.000,0.000
,0.142,2.197,5.597,8.186,9.769,9.881,9.719,9.641,9.508,8.958,8.425,7.483,5.838,3.302,0.868,0.033,0.000,0.000
,0.094,1.809,5.083,7.464,8.818,8.799,8.107,7.818,7.557,6.820,6.371,5.575,4.411,2.419,0.561,0.020,0.000,0.000
,0.037,1.109,3.979,6.152,7.172,7.130,6.448,6.008,5.441,4.684,4.193,3.732,3.009,1.715,0.333,0.008,0.000,0.000
,0.006,0.440,2.620,5.133,6.400,6.554,6.097,5.507,4.601,3.774,3.234,2.946,2.489,1.353,0.204,0.001,0.000,0.000
,0.000,0.119,1.598,4.476,6.288,6.699,6.378,5.433,4.380,3.520,3.039,2.908,2.432,1.091,0.109,0.000,0.000,0.000
,0.000,0.022,0.804,3.463,5.866,6.682,6.526,5.534,4.384,3.583,3.277,3.207,2.399,0.794,0.036,0.000,0.000,0.000
,0.000,0.002,0.286,2.206,4.973,6.453,6.617,6.007,4.919,4.093,3.747,3.578,2.428,0.640,0.013,0.000,0.000,0.000
,0.000,0.000,0.054,1.075,3.733,5.977,6.763,6.716,5.836,4.710,4.204,4.117,2.952,0.865,0.034,0.000,0.000,0.000
,0.000,0.000,0.004,0.365,2.409,5.311,7.034,7.560,6.816,5.351,5.001,5.407,4.508,1.794,0.173,0.001,0.000,0.000
