type,name,time_units,begin_time,frequency,count,units,cell_count_x,cell_count_y,cell_size_mm_x,cell_size_mm_y
signal_matrix,"RT Three foot zone analysis, zones graph, Forefootleft","s",0.000,1,1,"N/cm²",17,21,8.469,8.469

time,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.034,0.368,0.494,0.537,0.302,0.031,0.000,0.000,0.000
,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.050,0.627,2.043,3.021,3.207,2.371,0.634,0.063,0.000,0.000
,0.000,0.000,0.000,0.000,0.001,0.017,0.131,0.866,2.419,4.905,7.362,7.827,6.207,2.989,0.660,0.010,0.000
,0.000,0.000,0.000,0.027,0.147,0.708,1.538,2.784,4.732,7.978,11.786,13.258,10.375,5.710,1.722,0.177,0.000
,0.000,0.000,0.006,0.492,1.347,2.560,3.649,4.505,6.341,9.806,13.825,15.961,13.531,7.939,3.219,0.441,0.002
,0.000,0.000,0.102,1.437,3.453,4.775,5.424,6.001,7.436,10.545,14.321,15.957,14.069,9.270,4.181,0.761,0.008
,0.000,0.029,0.572,2.979,5.862,6.778,6.845,7.434,8.827,10.976,13.968,15.459,14.002,9.653,4.857,1.041,0.019
,0.000,0.249,2.126,5.042,7.153,7.496,7.473,8.877,10.630,12.259,13.901,14.910,13.508,9.606,4.920,1.231,0.020
,0.001,0.721,4.089,7.639,8.562,8.584,8.916,10.628,11.976,13.066,13.701,14.484,13.159,9.474,4.731,1.110,0.008
,0.029,1.482,5.940,9.437,10.527,10.629,10.890,12.225,13.702,14.355,14.728,14.378,12.938,9.326,4.684,0.935,0.002
,0.100,2.279,6.940,10.426,11.939,12.020,12.276,13.523,14.427,15.162,15.623,15.065,13.510,8.759,4.223,0.747,0.001
,0.233,2.931,7.607,10.857,12.894,12.605,12.862,13.439,13.806,14.129,14.207,13.767,12.031,8.565,4.312,0.655,0.000
,0.421,3.499,7.829,11.415,13.333,12.779,13.133,13.681,13.078,13.283,13.273,12.904,10.704,7.993,4.230,0.517,0.000
,0.528,4.190,8.556,11.336,12.748,12.308,11.855,11.462,11.065,11.422,11.543,11.115,9.307,6.541,2.670,0.206,0.000
,0.477,3.752,8.177,10.470,11.470,11.064,9.863,9.420,8.745,8.710,8.918,8.513,7.294,4.610,1.404,0.057,0.000
,0.244,2.587,6.322,8.111,8.470,8.122,7.182,6.676,6.057,6.213,6.059,5.719,4.625,2.360,0.464,0.003,0.000
,0.023,1.264,4.398,6.139,6.094,5.428,4.335,3.520,3.107,3.709,3.415,2.762,1.930,0.704,0.043,0.000,0.000
,0.001,0.442,3.174,4.955,4.805,3.940,2.636,1.803,1.675,2.041,1.691,1.077,0.540,0.143,0.000,0.000,0.000
,0.000,0.148,1.922,3.315,3.203,2.496,1.660,0.815,0.913,0.739,0.265,0.184,0.004,0.000,0.000,0.000,0.000
,0.000,0.033,0.547,1.491,1.661,1.112,0.534,0.046,0.068,0.056,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,0.000,0.000,0.025,0.168,0.267,0.161,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000

