type,name,time_units,begin_time,frequency,count,units,cell_count_x,cell_count_y,cell_size_mm_x,cell_size_mm_y
signal_matrix,"RT Three foot zone analysis, zones graph, Heelleft","s",0.000,1,1,"N/cm²",15,31,8.469,8.469

time,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.065,0.088,0.062,0.024,0.002,0.000,0.000
,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.133,0.865,1.315,1.246,0.809,0.121,0.001,0.000
,0.000,0.000,0.000,0.004,0.043,0.186,0.552,1.098,2.021,2.491,2.132,1.812,0.791,0.075,0.000
,0.000,0.000,0.009,0.151,0.813,1.275,1.864,2.648,3.185,3.554,3.397,2.850,1.434,0.134,0.000
,0.000,0.009,0.220,1.218,1.986,2.519,3.276,3.790,4.129,4.193,4.070,3.058,1.448,0.105,0.000
,0.011,0.266,1.569,2.827,2.941,3.284,3.819,4.186,4.224,4.237,4.061,3.033,1.611,0.089,0.000
,0.188,1.279,2.839,3.696,3.652,3.599,3.850,3.971,4.142,3.887,3.609,2.607,1.363,0.053,0.000
,0.397,1.886,3.101,3.769,3.568,3.437,3.614,3.763,4.012,3.528,3.150,2.236,0.818,0.017,0.000
,0.340,1.721,3.190,3.743,3.127,2.730,2.742,2.719,2.736,2.837,2.640,1.874,0.623,0.005,0.000
,0.375,1.784,3.118,3.364,2.954,2.462,2.193,2.155,2.160,2.442,2.490,1.686,0.552,0.001,0.000
,0.397,1.869,3.101,3.375,3.455,2.828,2.358,2.133,2.360,2.620,2.444,1.600,0.470,0.000,0.000
,0.079,1.570,3.148,3.632,4.104,3.418,2.521,2.203,2.483,2.694,2.437,1.278,0.244,0.000,0.000
,0.040,1.370,3.032,4.011,4.594,4.260,3.314,2.699,2.969,3.108,2.519,0.772,0.019,0.000,0.000
,0.018,1.088,3.157,4.252,4.801,4.518,3.764,3.218,3.557,3.390,2.073,0.421,0.000,0.000,0.000
,0.007,0.563,3.079,4.753,5.326,5.097,4.327,3.834,4.128,3.598,1.811,0.361,0.000,0.000,0.000
,0.000,0.427,2.747,5.459,6.752,6.690,5.434,4.468,4.674,4.160,2.152,0.379,0.000,0.000,0.000
,0.000,0.376,2.691,6.488,8.547,8.443,6.515,5.583,6.264,6.470,3.559,0.572,0.006,0.000,0.000
,0.000,0.443,3.210,7.358,9.563,9.572,7.157,6.567,8.275,8.750,5.425,1.478,0.072,0.000,0.000
,0.000,0.665,4.026,8.154,10.196,10.199,7.770,7.336,9.719,11.000,7.224,2.360,0.200,0.000,0.000
,0.001,1.061,5.205,9.363,11.443,11.087,7.449,7.407,11.091,12.368,9.068,3.746,0.432,0.003,0.000
,0.008,1.598,6.646,10.770,13.422,11.703,7.086,6.766,11.317,13.928,11.214,5.725,1.316,0.033,0.000
,0.029,1.953,7.504,11.917,15.182,12.207,6.616,5.779,11.067,14.486,12.984,6.952,2.132,0.173,0.000
,0.040,1.607,6.690,11.706,14.917,12.520,6.236,5.246,10.898,14.346,13.371,7.992,3.105,0.323,0.000
,0.015,0.868,4.875,10.494,14.407,12.902,7.142,5.403,10.360,13.984,13.404,8.901,3.559,0.471,0.000
,0.000,0.485,3.419,9.167,14.362,13.452,9.478,6.820,11.261,14.028,13.341,9.471,3.787,0.510,0.000
,0.000,0.128,1.833,6.941,12.781,13.251,10.765,9.067,12.763,14.031,12.337,8.673,3.377,0.203,0.000
,0.000,0.007,0.629,3.472,8.582,11.418,10.414,9.903,12.182,11.959,9.381,6.370,2.474,0.061,0.000
,0.000,0.000,0.138,1.306,4.344,7.225,8.172,7.818,8.294,8.201,6.162,3.348,0.955,0.006,0.000
,0.000,0.000,0.004,0.297,1.693,3.572,4.329,4.410,4.565,4.467,2.964,1.103,0.162,0.000,0.000
,0.000,0.000,0.000,0.003,0.114,0.907,1.557,1.615,1.630,1.479,0.665,0.098,0.001,0.000,0.000
,0.000,0.000,0.000,0.000,0.001,0.037,0.118,0.170,0.235,0.388,0.108,0.000,0.000,0.000,0.000

