type,name,time_units,begin_time,frequency,count,units,cell_count_x,cell_count_y,cell_size_mm_x,cell_size_mm_y
signal_matrix,"RT Three foot zone analysis, zones graph, Midfootright","s",0.000,1,1,"N/cm²",16,32,8.469,8.469

time,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
0.000,0.000,0.000,0.000,0.001,0.110,0.052,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,0.000,0.000,0.028,0.672,1.589,1.085,0.467,0.223,0.037,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,0.000,0.109,0.697,3.314,4.979,4.558,3.191,1.898,0.429,0.007,0.000,0.000,0.000,0.000,0.000,0.000
,0.000,0.449,2.492,5.884,7.788,7.430,5.400,3.466,1.376,0.397,0.064,0.015,0.000,0.000,0.000,0.000
,0.065,1.022,4.029,7.192,8.937,8.577,6.703,4.522,2.420,1.570,1.072,0.408,0.002,0.000,0.000,0.000
,0.230,1.840,4.625,7.081,8.621,8.230,6.837,5.257,3.666,2.241,1.710,0.977,0.348,0.032,0.000,0.000
,0.289,2.127,4.601,6.403,7.460,6.734,5.850,5.352,4.642,3.897,3.667,2.979,1.613,0.428,0.022,0.000
,0.280,1.967,4.097,5.719,6.460,6.308,5.925,5.893,5.524,5.293,5.375,4.920,3.297,1.342,0.120,0.000
,0.262,1.736,4.152,5.469,6.339,6.366,6.267,6.229,6.287,6.085,6.412,6.131,4.795,2.410,0.493,0.017
,0.477,1.866,3.846,5.408,6.526,6.449,6.459,6.522,6.721,6.519,6.986,7.304,6.338,3.649,1.226,0.059
,0.307,1.920,3.657,5.160,6.230,6.454,6.650,6.731,6.566,6.461,7.330,7.868,6.942,4.413,1.839,0.087
,0.127,1.574,3.140,4.603,5.617,6.143,6.399,6.366,6.036,6.174,7.217,7.567,6.755,4.792,2.012,0.149
,0.110,1.166,2.710,3.976,4.864,5.203,5.569,5.825,5.410,5.675,6.631,6.886,6.047,4.366,1.830,0.145
,0.061,0.677,1.896,2.911,3.507,3.840,4.375,4.626,4.512,4.930,6.020,6.705,5.871,3.821,1.403,0.069
,0.000,0.119,1.178,2.155,2.397,2.529,3.174,3.484,4.154,5.055,6.790,7.761,6.426,3.798,1.238,0.043
,0.000,0.039,0.786,1.945,2.457,2.364,2.202,2.608,3.967,5.729,7.578,8.157,6.883,3.993,1.165,0.033
,0.000,0.001,0.339,1.339,2.275,2.658,2.368,2.443,3.844,6.339,8.163,8.435,7.011,3.688,0.811,0.008
,0.000,0.000,0.112,0.873,2.041,2.661,2.495,2.505,4.223,6.485,8.259,8.375,6.051,2.250,0.208,0.000
,0.000,0.000,0.017,0.417,1.783,2.405,2.693,3.462,4.865,6.874,8.395,8.026,4.851,1.270,0.085,0.000
,0.000,0.000,0.000,0.143,1.262,2.025,2.480,3.949,5.947,7.594,8.717,7.659,3.910,0.819,0.017,0.000
,0.000,0.000,0.002,0.282,1.490,2.534,2.514,3.259,5.646,8.216,8.959,7.538,3.646,0.680,0.006,0.000
,0.000,0.000,0.026,0.661,2.428,3.658,3.436,3.702,5.719,8.043,9.031,7.794,4.282,1.233,0.097,0.000
,0.000,0.000,0.107,1.408,3.949,5.037,4.667,3.993,5.835,8.050,8.804,7.557,4.226,1.505,0.208,0.000
,0.000,0.002,0.347,2.437,5.412,6.154,5.184,4.020,6.080,8.313,8.577,7.487,3.673,0.687,0.004,0.000
,0.000,0.006,0.627,3.643,6.296,6.996,5.229,3.813,5.853,7.991,8.478,7.496,3.548,0.603,0.005,0.000
,0.000,0.055,1.252,4.427,6.743,6.977,5.153,3.386,4.900,7.304,8.019,7.122,3.551,0.614,0.006,0.000
,0.000,0.075,1.437,4.816,6.816,6.755,4.800,3.035,4.126,6.671,7.041,5.773,2.738,0.346,0.001,0.000
,0.000,0.108,1.465,4.416,6.268,6.302,4.139,2.281,3.154,5.877,5.899,4.122,1.518,0.099,0.000,0.000
,0.000,0.231,1.590,3.830,5.371,5.247,3.556,1.592,2.243,4.348,4.279,2.790,1.014,0.015,0.000,0.000
,0.000,0.049,0.802,2.712,4.110,3.928,2.450,1.033,1.548,2.929,2.936,1.640,0.376,0.004,0.000,0.000
,0.000,0.000,0.138,0.853,1.689,1.948,1.058,0.269,0.727,1.373,1.225,0.455,0.031,0.000,0.000,0.000
,0.000,0.000,0.001,0.007,0.163,0.450,0.286,0.014,0.079,0.168,0.127,0.026,0.000,0.000,0.000,0.000

