type,name,time_units,begin_time,frequency,count,units,cell_count_x,cell_count_y,cell_size_mm_x,cell_size_mm_y
signal_matrix,"RT Three foot zone analysis, zones graph, Heelright","s",0.000,1,1,"N/cm²",14,29,8.469,8.469

time,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
0.000,0.000,0.003,0.023,0.062,0.107,0.139,0.188,0.114,0.002,0.000,0.000,0.000,0.000,0.000
,0.000,0.294,1.192,1.705,1.990,1.824,1.827,1.170,0.348,0.225,0.006,0.000,0.000,0.000
,0.000,0.500,2.121,2.696,3.088,2.948,2.644,2.494,2.021,1.364,0.425,0.020,0.000,0.000
,0.000,0.415,2.317,3.403,3.576,3.491,3.114,3.021,2.543,2.272,2.035,0.483,0.025,0.000
,0.000,0.315,2.247,3.537,3.314,3.215,3.108,2.953,2.574,2.633,2.857,1.613,0.169,0.000
,0.000,0.217,1.731,2.554,3.011,2.723,2.622,2.289,2.110,2.121,2.551,1.961,0.252,0.002
,0.000,0.052,0.498,1.244,1.913,1.977,2.297,2.044,1.880,2.196,2.739,2.379,0.873,0.097
,0.000,0.001,0.102,0.988,1.555,1.603,1.732,1.693,2.022,2.924,3.676,3.414,1.884,0.278
,0.000,0.038,0.829,1.366,1.529,1.601,1.599,1.670,2.521,3.957,4.328,3.801,2.107,0.286
,0.000,0.036,1.143,2.196,2.055,1.712,1.696,2.339,3.476,4.553,4.749,3.747,1.848,0.264
,0.000,0.011,0.767,2.480,2.786,2.505,2.551,3.292,4.525,5.320,5.165,4.049,1.963,0.260
,0.000,0.003,0.552,2.347,3.412,3.254,3.365,4.309,5.804,6.459,5.958,4.438,1.886,0.218
,0.000,0.000,0.474,2.202,3.528,3.631,4.090,5.518,6.987,7.490,6.774,4.841,1.438,0.077
,0.000,0.000,0.553,2.420,3.876,4.141,4.591,6.208,8.025,8.653,7.831,4.865,1.344,0.084
,0.000,0.000,0.632,3.089,5.398,5.851,5.650,6.776,9.253,10.133,8.865,5.285,1.299,0.069
,0.000,0.116,1.450,4.934,8.072,7.967,6.430,7.366,10.297,10.941,9.629,5.731,1.271,0.013
,0.000,0.329,2.746,7.446,10.833,9.367,6.712,7.799,10.967,11.727,10.549,6.789,1.754,0.068
,0.001,0.623,4.081,9.368,12.471,10.090,6.967,7.641,11.353,12.748,11.603,7.668,2.225,0.134
,0.046,1.231,5.425,10.590,13.195,11.108,6.529,6.825,12.239,14.211,12.391,8.133,2.714,0.272
,0.207,2.525,7.382,11.721,13.506,11.365,6.454,6.616,13.509,15.461,13.434,8.808,3.297,0.544
,0.325,3.216,8.557,12.703,14.093,11.395,6.083,6.498,14.020,15.743,13.696,8.579,2.803,0.308
,0.469,3.932,9.082,12.839,13.946,11.050,5.915,7.258,14.811,16.068,13.454,7.879,2.366,0.144
,0.415,3.979,8.770,12.460,13.858,11.193,6.902,9.464,15.167,15.843,12.051,6.666,1.651,0.077
,0.294,3.483,7.979,11.700,13.020,10.997,8.235,11.857,14.554,13.750,9.387,4.412,1.007,0.040
,0.159,2.012,5.148,8.489,10.513,9.833,9.224,11.595,12.685,10.438,6.282,2.041,0.211,0.001
,0.032,0.752,2.824,5.550,7.368,8.054,8.269,9.318,8.624,6.126,3.251,0.521,0.014,0.000
,0.001,0.087,0.906,2.809,4.200,5.146,5.879,5.220,3.467,2.061,1.037,0.074,0.000,0.000
,0.000,0.000,0.127,0.829,1.455,2.210,2.273,1.311,0.651,0.129,0.015,0.000,0.000,0.000
,0.000,0.000,0.000,0.000,0.082,0.465,0.382,0.026,0.002,0.000,0.000,0.000,0.000,0.000

