type,name,time_units,begin_time,frequency,count,units,cell_count_x,cell_count_y,cell_size_mm_x,cell_size_mm_y
signal_matrix,"RT Pressure plot 3d, Stance, Average","s",0.000,1,1,"N/cm²",17,41,8.469,8.469

time,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17
0.000,0.000,0.000,0.000,0.003,0.009,0.013,0.015,0.008,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,0.000,0.000,0.004,0.071,0.262,0.483,0.555,0.369,0.107,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,0.000,0.006,0.127,0.781,1.838,2.573,2.617,1.865,0.761,0.152,0.013,0.000,0.000,0.000,0.000,0.000,0.000
,0.001,0.084,0.922,2.981,5.056,5.896,5.294,3.802,2.107,0.750,0.148,0.009,0.000,0.000,0.000,0.000,0.000
,0.015,0.442,2.724,6.319,9.188,9.496,7.710,5.471,3.626,1.991,0.688,0.086,0.002,0.000,0.000,0.000,0.000
,0.056,1.178,4.982,9.870,12.916,12.179,9.362,6.809,4.988,3.421,1.745,0.438,0.031,0.000,0.000,0.000,0.000
,0.109,1.953,6.726,12.098,14.604,12.970,9.918,7.606,6.029,4.661,3.043,1.323,0.218,0.007,0.000,0.000,0.000
,0.152,2.403,7.287,12.194,14.087,12.453,9.726,8.022,6.804,5.634,4.283,2.583,0.810,0.074,0.001,0.000,0.000
,0.154,2.423,6.915,10.948,12.312,11.313,9.549,8.504,7.517,6.282,5.114,3.758,1.986,0.417,0.021,0.000,0.000
,0.132,2.169,6.140,9.388,10.441,10.078,9.599,9.114,8.213,6.924,6.149,5.397,3.870,1.471,0.144,0.000,0.000
,0.108,1.836,5.274,8.040,9.183,9.446,9.777,9.900,9.232,8.422,8.242,7.735,6.008,3.021,0.482,0.008,0.000
,0.078,1.542,4.722,7.477,8.925,9.800,10.489,11.122,10.723,10.118,10.142,9.706,7.700,4.401,1.085,0.048,0.000
,0.059,1.363,4.460,7.396,9.103,10.202,11.002,11.657,11.684,10.972,10.839,10.736,8.793,5.532,1.789,0.114,0.000
,0.050,1.248,4.136,6.958,8.998,10.039,10.909,11.300,11.699,11.028,10.714,11.048,9.463,6.363,2.439,0.193,0.000
,0.040,1.078,3.638,6.183,8.242,9.273,10.025,10.356,10.526,10.210,10.266,10.810,9.606,6.743,2.726,0.240,0.000
,0.025,0.787,2.936,5.164,6.737,7.808,8.407,8.981,8.947,8.775,9.231,9.776,8.857,6.409,2.561,0.220,0.001
,0.012,0.470,2.109,3.845,4.897,5.763,6.287,6.811,6.947,6.954,7.609,8.238,7.629,5.417,1.971,0.148,0.001
,0.003,0.197,1.242,2.474,3.166,3.693,4.148,4.685,5.342,5.984,7.000,7.798,7.238,4.624,1.335,0.071,0.000
,0.000,0.053,0.671,1.740,2.367,2.718,3.119,3.764,4.724,5.916,7.374,8.089,7.258,4.129,0.885,0.024,0.000
,0.000,0.012,0.336,1.318,2.214,2.580,2.802,3.364,4.351,5.870,7.556,8.107,6.807,3.346,0.526,0.006,0.000
,0.000,0.001,0.110,0.892,2.156,2.786,2.910,3.366,4.478,6.202,7.690,7.958,5.947,2.326,0.241,0.001,0.000
,0.000,0.000,0.021,0.520,1.966,2.969,3.216,3.840,5.308,7.094,8.148,7.842,4.947,1.375,0.064,0.000,0.000
,0.000,0.000,0.004,0.325,1.836,3.183,3.575,4.387,6.297,8.240,8.974,7.874,4.063,0.742,0.012,0.000,0.000
,0.000,0.000,0.007,0.479,2.457,4.099,4.404,5.009,7.146,9.392,9.987,8.208,3.607,0.451,0.002,0.000,0.000
,0.000,0.000,0.037,1.065,4.009,6.067,6.020,5.797,7.764,10.434,10.980,8.773,3.638,0.388,0.001,0.000,0.000
,0.000,0.001,0.181,2.176,6.108,8.426,7.696,6.256,7.957,11.190,11.776,9.458,4.042,0.456,0.001,0.000,0.000
,0.000,0.006,0.540,3.688,8.336,10.546,8.740,6.110,7.713,11.655,12.352,10.058,4.608,0.610,0.002,0.000,0.000
,0.000,0.024,1.134,5.299,10.261,12.063,9.127,5.555,7.186,11.891,12.832,10.443,5.060,0.756,0.003,0.000,0.000
,0.000,0.087,1.898,6.702,11.430,12.684,8.905,4.818,6.513,11.908,13.226,10.543,5.193,0.807,0.003,0.000,0.000
,0.000,0.203,2.673,7.670,11.884,12.525,8.203,4.126,5.941,11.676,13.229,10.133,4.840,0.719,0.002,0.000,0.000
,0.000,0.310,3.220,8.078,11.756,11.902,7.325,3.699,5.837,11.583,12.908,9.254,4.070,0.513,0.001,0.000,0.000
,0.000,0.384,3.470,8.109,11.372,11.216,6.814,3.963,6.776,12.174,12.487,8.131,3.079,0.273,0.000,0.000,0.000
