type,name,time_units,begin_time,frequency,count,units,cell_count_x,cell_count_y,cell_size_mm_x,cell_size_mm_y
signal_matrix,"RT Three foot zone analysis, zones graph, Forefootleft","s",0.000,1,1,"N/cm²",17,21,8.469,8.469

time,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.011,0.148,0.140,0.070,0.012,0.000,0.000,0.000,0.000
,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.039,0.353,1.157,1.645,1.350,0.782,0.341,0.050,0.000,0.000
,0.000,0.000,0.000,0.000,0.000,0.000,0.037,0.435,1.812,3.709,5.096,4.680,3.329,1.780,0.314,0.008,0.000
,0.000,0.000,0.000,0.000,0.000,0.100,0.717,2.008,4.157,7.240,9.674,9.602,7.442,3.836,1.082,0.073,0.000
,0.000,0.000,0.000,0.015,0.323,1.106,2.198,3.530,5.987,9.871,13.680,14.079,11.293,6.296,2.218,0.195,0.000
,0.000,0.000,0.023,0.584,1.990,3.124,3.959,5.221,6.895,10.550,14.417,15.907,13.232,7.907,3.067,0.390,0.001
,0.000,0.005,0.328,1.785,4.026,5.151,5.419,6.462,7.668,10.578,14.339,16.123,13.717,8.397,3.734,0.716,0.007
,0.000,0.164,1.137,3.422,5.758,6.600,6.584,7.928,9.297,11.151,13.949,15.720,13.613,8.356,3.755,0.744,0.008
,0.006,0.725,2.722,6.060,7.984,7.973,8.094,9.481,10.461,11.488,12.461,13.216,11.980,8.531,4.299,0.857,0.004
,0.036,1.390,4.443,8.249,10.571,10.447,10.376,11.840,12.306,12.120,12.342,12.265,11.236,8.471,4.424,0.820,0.001
,0.110,1.930,5.604,9.528,12.241,12.306,11.966,13.290,13.386,12.896,12.661,12.578,11.002,8.065,4.319,0.667,0.000
,0.212,2.746,6.912,10.669,13.471,13.330,12.884,12.736,12.199,12.225,12.555,11.920,10.066,7.113,3.490,0.443,0.000
,0.327,3.583,8.277,12.015,14.310,13.817,13.275,12.736,11.803,11.839,11.881,11.115,9.146,6.201,2.606,0.199,0.000
,0.458,3.917,8.493,12.191,13.805,13.330,11.778,10.769,10.375,10.678,10.312,9.526,7.901,5.058,2.098,0.090,0.000
,0.442,3.416,7.585,10.132,11.708,10.694,9.144,8.674,8.290,8.066,7.946,7.833,6.070,3.287,1.032,0.030,0.000
,0.247,2.218,5.436,7.580,8.619,7.892,6.390,5.675,5.616,5.389,5.486,5.298,3.795,1.818,0.436,0.001,0.000
,0.006,0.960,3.665,6.158,7.229,6.313,4.482,3.221,2.813,2.803,2.981,2.975,2.029,0.639,0.065,0.000,0.000
,0.001,0.351,2.350,4.541,5.483,4.534,3.083,2.071,1.542,1.559,1.855,1.782,1.099,0.197,0.000,0.000,0.000
,0.000,0.067,1.009,2.830,3.551,3.033,1.713,0.564,0.386,0.465,0.740,0.418,0.115,0.021,0.000,0.000,0.000
,0.000,0.001,0.182,1.401,1.928,1.596,0.414,0.025,0.000,0.001,0.018,0.012,0.000,0.000,0.000,0.000,0.000
,0.000,0.000,0.012,0.189,0.359,0.366,0.063,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000

