type,name,time_units,begin_time,frequency,count,units,cell_count_x,cell_count_y,cell_size_mm_x,cell_size_mm_y
signal_matrix,"RT Pressure plots, Stance, Maximum","s",0.000,1,1,"N/cm²",19,41,8.469,8.469

time,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,0.000,0.000,0.000,0.000,0.000,0.001,0.057,0.258,0.438,0.455,0.177,0.017,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,0.000,0.000,0.000,0.000,0.000,0.053,0.675,1.853,2.756,2.546,1.672,0.612,0.078,0.000,0.000,0.000,0.000,0.000,0.000
,0.000,0.000,0.000,0.000,0.011,0.459,2.190,4.567,6.858,6.974,5.586,3.000,0.788,0.059,0.000,0.000,0.000,0.000,0.000
,0.000,0.000,0.000,0.001,0.111,1.323,4.093,7.850,12.055,12.506,10.050,6.473,2.724,0.445,0.004,0.000,0.000,0.000,0.000
,0.000,0.000,0.001,0.198,0.958,2.469,5.552,10.310,16.158,18.869,15.339,9.856,4.874,1.371,0.038,0.000,0.000,0.000,0.000
,0.000,0.003,0.088,0.900,2.738,4.015,6.053,11.126,17.217,20.978,19.750,13.455,6.704,2.426,0.257,0.001,0.000,0.000,0.000
,0.000,0.052,0.814,2.507,4.800,5.634,6.418,10.007,15.079,19.716,20.966,15.817,8.438,3.453,0.633,0.006,0.000,0.000,0.000
,0.000,0.221,1.868,4.551,6.880,6.965,7.013,9.028,13.140,18.618,20.918,16.880,9.984,4.922,1.024,0.008,0.000,0.000,0.000
,0.008,0.483,2.981,6.029,8.261,7.736,7.769,9.288,11.794,16.134,18.853,16.362,10.795,6.208,1.677,0.033,0.000,0.000,0.000
,0.070,1.099,3.741,6.888,8.506,8.039,8.646,10.039,11.512,13.168,15.265,14.325,11.070,7.123,2.239,0.066,0.000,0.000,0.000
,0.251,1.861,5.214,8.874,9.592,9.052,10.136,11.584,12.127,12.810,13.542,13.324,11.018,7.341,2.551,0.092,0.000,0.000,0.000
,0.393,2.567,6.968,11.063,12.208,11.261,12.121,13.839,13.246,13.187,13.634,13.686,11.264,7.249,2.662,0.146,0.000,0.000,0.000
,0.423,2.986,7.904,11.718,13.358,12.679,12.561,13.474,12.936,12.686,13.155,12.796,10.632,6.957,2.674,0.135,0.000,0.000,0.000
,0.475,3.359,8.148,11.852,13.924,13.385,13.396,13.192,12.353,12.267,12.532,11.586,9.272,6.292,2.628,0.170,0.000,0.000,0.000
,0.537,3.759,8.299,12.136,14.427,14.070,13.470,12.808,12.060,12.075,11.593,10.433,8.320,5.508,2.456,0.225,0.000,0.000,0.000
,0.454,3.635,8.359,12.048,14.054,13.916,12.258,11.438,11.161,11.203,9.828,8.959,7.249,4.596,1.913,0.216,0.000,0.000,0.000
,0.286,3.162,7.656,10.860,12.611,12.031,10.328,9.912,9.707,9.170,8.262,7.625,5.994,3.759,1.474,0.167,0.000,0.000,0.000
,0.169,2.269,6.351,8.988,10.087,10.086,9.058,7.964,7.625,6.839,6.114,5.655,4.642,3.102,1.094,0.054,0.000,0.000,0.000
,0.061,1.273,4.816,7.567,9.432,9.674,9.100,7.615,6.293,5.598,4.810,4.520,4.047,2.698,0.924,0.046,0.000,0.000,0.000
,0.007,0.494,3.078,6.423,9.617,10.125,9.714,8.145,5.982,5.061,4.463,4.293,3.826,2.310,0.869,0.018,0.000,0.000,0.000
,0.000,0.320,2.187,5.566,9.322,10.944,10.446,8.980,6.612,4.910,4.156,4.279,3.618,1.830,0.633,0.003,0.000,0.000,0.000
,0.000,0.115,1.222,4.098,7.907,10.714,10.714,9.345,7.446,5.966,4.525,4.252,3.409,1.728,0.600,0.002,0.000,0.000,0.000
,0.000,0.000,0.231,2.133,5.791,9.413,10.620,9.815,8.471,6.309,4.695,4.435,3.895,2.185,0.653,0.010,0.000,0.000,0.000
