type,name,time_units,begin_time,frequency,count,units,cell_count_x,cell_count_y,cell_size_mm_x,cell_size_mm_y
signal_matrix,"RT Three foot zone analysis, zones graph, Forefootright","s",0.000,1,1,"N/cm²",16,22,8.469,8.469

time,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
0.000,0.000,0.000,0.001,0.026,0.040,0.044,0.027,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,0.000,0.004,0.103,0.681,1.240,1.272,0.761,0.226,0.065,0.002,0.000,0.000,0.000,0.000,0.000,0.000
,0.000,0.146,1.021,3.295,5.052,4.925,3.814,2.299,1.089,0.429,0.239,0.012,0.000,0.000,0.000,0.000
,0.019,0.679,3.625,8.121,10.659,9.925,7.940,5.198,3.359,1.946,0.908,0.060,0.000,0.000,0.000,0.000
,0.129,1.817,6.506,12.350,15.585,14.318,11.107,7.515,4.869,2.974,1.506,0.270,0.009,0.000,0.000,0.000
,0.459,3.151,8.554,15.206,17.087,15.378,11.956,8.393,6.485,4.660,2.874,1.151,0.144,0.001,0.000,0.000
,0.538,3.587,9.020,14.870,17.021,14.893,11.365,8.889,7.512,5.855,4.132,2.604,0.951,0.086,0.002,0.000
,0.466,3.523,8.544,13.425,15.026,13.330,11.029,9.785,8.743,7.069,6.074,5.266,2.953,0.905,0.091,0.000
,0.426,3.263,7.662,11.109,12.305,11.477,10.610,10.610,9.801,8.915,9.732,8.709,6.003,2.757,0.530,0.008
,0.333,2.952,6.919,9.638,11.284,11.634,11.627,12.039,11.527,11.335,13.252,12.099,8.853,4.836,1.476,0.067
,0.281,2.822,6.884,9.923,11.585,11.847,11.888,12.581,12.700,12.920,15.516,15.095,11.359,6.959,2.712,0.202
,0.271,2.688,6.372,9.354,11.492,12.133,12.192,12.972,13.827,13.444,16.652,16.470,13.293,8.142,3.542,0.352
,0.209,2.484,5.828,8.493,10.996,11.618,11.903,11.758,13.135,12.618,15.649,16.129,14.071,8.847,3.858,0.460
,0.116,1.925,5.149,7.672,9.115,9.689,9.741,11.121,11.240,11.117,12.616,13.582,12.509,8.726,3.688,0.496
,0.024,1.490,4.118,6.383,7.054,7.250,7.032,7.919,8.112,8.181,9.691,10.807,10.259,7.309,3.023,0.451
,0.001,0.659,2.367,4.056,4.343,4.304,4.128,4.528,4.692,4.963,6.815,8.455,8.006,5.044,2.024,0.317
,0.000,0.066,0.877,1.948,2.161,2.041,1.888,2.209,2.694,3.430,5.401,7.026,6.858,4.447,1.376,0.089
,0.000,0.000,0.178,0.469,0.442,0.470,0.746,1.346,1.712,2.435,4.029,5.008,5.009,3.236,0.630,0.007
,0.000,0.000,0.000,0.000,0.000,0.022,0.108,0.540,0.645,1.395,2.788,3.477,3.417,1.843,0.252,0.000
,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.042,0.581,1.597,2.202,2.084,0.735,0.048,0.000
,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.038,0.505,1.072,0.779,0.092,0.000,0.000
,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.018,0.201,0.111,0.000,0.000,0.000

