type,name,time_units,begin_time,frequency,count,units,cell_count_x,cell_count_y,cell_size_mm_x,cell_size_mm_y
signal_matrix,"RT Three foot zone analysis, zones graph, Midfootleft","s",0.000,1,1,"N/cm²",16,32,8.469,8.469

time,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.096,0.411,0.481,0.335,0.112,0.000,0.000
,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.153,0.867,2.363,3.144,2.776,1.133,0.039,0.000
,0.000,0.000,0.000,0.001,0.015,0.004,0.017,0.139,1.009,2.750,4.386,5.765,5.439,2.936,0.511,0.001
,0.000,0.000,0.011,0.130,0.632,0.751,0.749,1.402,2.934,4.564,5.939,6.922,6.426,4.116,1.036,0.003
,0.000,0.000,0.250,1.204,2.240,2.435,2.419,3.239,4.371,5.498,6.883,7.238,6.729,4.292,1.150,0.022
,0.000,0.015,1.166,2.766,3.636,3.694,3.605,4.565,5.245,6.157,7.078,7.197,6.362,4.469,1.526,0.131
,0.004,0.319,2.486,4.427,4.925,4.842,5.067,5.913,6.306,6.642,7.145,7.038,6.641,4.485,1.859,0.204
,0.086,1.146,3.836,5.893,6.354,6.224,6.215,6.713,7.035,7.399,7.713,7.387,6.657,4.424,1.779,0.156
,0.124,1.629,4.898,6.884,7.564,7.127,7.041,7.303,7.371,7.404,7.473,7.048,6.203,4.432,1.872,0.108
,0.208,2.141,5.687,7.780,8.518,7.837,7.453,7.263,7.188,7.301,7.343,6.720,5.842,4.047,1.899,0.126
,0.260,2.476,6.210,8.217,9.062,8.483,7.429,6.773,6.778,6.786,6.845,6.355,5.417,3.548,1.750,0.103
,0.233,2.740,6.585,8.007,9.051,8.279,6.690,6.070,5.931,5.941,6.236,5.877,4.834,2.859,1.240,0.047
,0.232,2.269,5.929,7.951,8.522,7.402,5.547,4.757,4.590,4.539,4.855,4.652,3.873,1.751,0.449,0.008
,0.120,1.723,5.285,8.122,8.835,7.385,5.630,4.345,3.194,3.093,3.322,3.271,2.568,1.249,0.194,0.000
,0.128,1.429,4.659,8.178,9.493,8.380,6.240,4.436,3.263,3.003,3.115,3.004,2.150,0.967,0.111,0.000
,0.030,0.920,4.113,8.211,9.546,9.095,6.860,4.692,4.082,3.434,3.006,2.710,1.983,0.615,0.025,0.000
,0.001,0.315,2.888,7.609,9.660,9.546,7.547,5.022,4.203,3.722,3.284,2.893,1.962,0.592,0.000,0.000
,0.000,0.118,1.801,6.086,9.262,9.598,8.163,5.035,3.771,3.416,3.226,2.540,0.905,0.071,0.000,0.000
,0.000,0.034,1.109,4.700,8.560,9.577,8.515,5.565,3.588,3.421,3.086,1.744,0.521,0.001,0.000,0.000
,0.000,0.023,0.871,3.970,7.898,9.466,8.413,5.739,3.763,3.923,3.814,2.333,0.443,0.002,0.000,0.000
,0.000,0.012,0.964,3.847,8.065,9.506,8.306,5.610,4.166,4.912,5.340,3.658,1.033,0.039,0.000,0.000
,0.000,0.027,1.020,3.897,8.383,10.126,9.087,6.128,4.622,6.104,6.881,4.913,1.753,0.255,0.000,0.000
,0.000,0.008,0.713,3.891,7.810,9.441,9.052,6.314,5.111,7.095,7.612,6.158,2.674,0.468,0.001,0.000
,0.000,0.001,0.983,4.278,7.357,8.577,8.142,5.327,4.881,7.729,8.294,6.778,3.725,0.783,0.005,0.000
,0.000,0.001,0.951,3.767,6.696,8.052,7.703,4.602,4.092,7.438,8.554,7.238,4.125,1.018,0.033,0.000
,0.000,0.005,0.717,3.092,5.916,7.563,6.900,3.704,3.478,6.834,8.206,7.492,4.440,1.295,0.053,0.000
,0.000,0.002,0.237,2.199,5.147,7.462,6.128,3.040,3.152,6.035,7.617,7.191,4.650,1.219,0.050,0.000
,0.000,0.000,0.085,1.370,3.720,5.906,4.705,2.332,2.757,5.382,6.733,6.697,4.364,0.871,0.043,0.000
,0.000,0.000,0.032,0.496,1.898,3.418,3.262,1.868,2.344,4.379,5.550,5.613,3.495,0.487,0.016,0.000
,0.000,0.000,0.000,0.027,0.496,1.486,1.605,1.054,1.550,2.841,3.732,3.446,1.668,0.136,0.000,0.000
,0.000,0.000,0.000,0.000,0.053,0.284,0.307,0.121,0.610,1.416,1.888,1.374,0.409,0.013,0.000,0.000
,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.028,0.246,0.451,0.179,0.002,0.000,0.000,0.000

