type,name,time_units,begin_time,frequency,count,units,cell_count_x,cell_count_y,cell_size_mm_x,cell_size_mm_y
signal_matrix,"RT Three foot zone analysis, zones graph, Midfootright","s",0.000,1,1,"N/cm²",16,34,8.469,8.469

time,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
0.000,0.000,0.000,0.001,0.019,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,0.001,0.163,0.491,0.837,0.732,0.302,0.100,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,0.002,0.714,2.321,3.426,3.016,1.853,0.920,0.252,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,0.003,1.325,4.336,6.028,5.434,4.032,2.439,1.201,0.376,0.009,0.000,0.000,0.000,0.000,0.000,0.000
,0.089,2.258,5.941,7.387,6.815,5.311,3.694,2.437,1.534,0.224,0.010,0.003,0.000,0.000,0.000,0.000
,0.519,3.007,6.132,7.125,6.748,5.730,4.612,3.345,2.314,1.200,0.792,0.269,0.008,0.000,0.000,0.000
,0.649,2.819,5.201,6.138,6.043,5.592,4.891,4.058,3.306,2.954,2.698,1.674,0.703,0.169,0.000,0.000
,0.271,2.019,4.335,5.564,5.843,5.598,5.286,5.083,4.735,4.923,4.924,3.947,2.801,1.195,0.171,0.000
,0.118,1.498,3.955,5.481,5.841,5.729,5.797,6.026,5.745,6.102,6.532,6.032,5.173,3.034,0.770,0.000
,0.237,1.659,3.777,5.374,5.926,5.954,6.163,6.623,6.664,6.619,7.490,7.889,7.430,5.066,1.573,0.001
,0.234,1.770,3.819,5.454,6.172,6.106,6.274,6.608,6.696,6.894,8.280,9.132,9.010,6.529,2.142,0.020
,0.189,1.621,3.660,4.935,5.447,5.872,6.268,6.459,6.195,6.821,7.985,8.732,8.925,6.668,2.198,0.052
,0.099,1.128,2.938,4.161,4.540,4.734,4.985,5.343,5.367,6.127,7.539,8.442,8.138,5.962,1.795,0.055
,0.059,0.808,2.292,3.172,3.368,3.597,3.727,4.379,4.929,6.277,8.576,9.773,8.268,5.483,1.387,0.027
,0.008,0.398,1.529,2.347,2.649,2.505,2.818,3.587,5.040,7.486,10.073,10.988,9.424,5.472,1.134,0.013
,0.000,0.271,1.297,2.088,2.562,2.600,2.689,3.317,5.117,8.344,11.426,11.983,10.417,4.984,0.709,0.002
,0.000,0.127,1.005,2.009,2.831,2.868,2.666,3.279,5.576,9.460,12.906,12.322,9.427,3.322,0.316,0.000
,0.000,0.010,0.299,1.464,2.747,2.965,2.759,3.803,6.636,10.802,13.935,12.280,7.478,1.879,0.105,0.000
,0.000,0.000,0.101,1.110,2.497,2.864,3.158,4.218,7.341,11.398,13.480,11.578,5.510,1.104,0.034,0.000
,0.000,0.000,0.088,1.009,2.431,2.816,3.171,4.760,7.936,12.019,13.396,9.940,3.931,0.558,0.003,0.000
,0.000,0.000,0.061,1.065,3.082,4.023,3.940,5.499,8.624,12.738,13.669,8.387,3.352,0.506,0.001,0.000
,0.000,0.001,0.340,2.194,4.717,5.792,5.452,5.781,8.921,12.597,13.522,7.873,3.050,0.367,0.000,0.000
,0.000,0.012,0.774,3.841,6.701,7.437,6.358,5.686,8.781,12.098,12.961,7.946,3.141,0.424,0.001,0.000
,0.000,0.062,1.724,6.025,8.721,8.890,6.938,5.437,8.649,11.844,12.963,8.532,3.240,0.361,0.000,0.000
,0.000,0.263,3.047,7.785,10.317,9.935,7.226,5.121,8.786,11.869,12.420,9.004,3.509,0.438,0.000,0.000
,0.007,0.926,4.863,9.401,10.807,10.498,7.171,4.494,8.570,11.882,11.615,8.893,3.553,0.419,0.000,0.000
,0.009,1.664,6.029,10.191,11.028,10.436,6.410,4.022,8.226,11.797,11.000,7.950,3.239,0.424,0.000,0.000
,0.017,1.885,6.228,9.649,10.351,9.583,5.559,3.742,7.802,10.668,9.708,6.682,2.451,0.251,0.000,0.000
,0.017,1.772,5.874,8.721,9.411,8.793,5.326,4.325,7.721,9.362,7.838,4.520,1.318,0.047,0.000,0.000
,0.005,1.258,4.569,7.132,8.016,7.679,4.890,4.661,6.887,7.673,5.585,2.463,0.386,0.002,0.000,0.000
,0.000,0.563,2.425,4.466,5.696,6.080,4.350,4.388,5.652,5.328,3.049,0.748,0.043,0.000,0.000,0.000
,0.000,0.099,0.715,1.922,3.049,3.789,3.290,3.570,3.912,3.137,1.187,0.065,0.000,0.000,0.000,0.000
,0.000,0.000,0.069,0.302,0.923,1.341,1.446,1.761,1.451,1.236,0.311,0.007,0.000,0.000,0.000,0.000
,0.000,0.000,0.000,0.001,0.022,0.130,0.220,0.378,0.163,0.077,0.010,0.000,0.000,0.000,0.000,0.000

