type,name,time_units,begin_time,frequency,count,units,cell_count_x,cell_count_y,cell_size_mm_x,cell_size_mm_y
signal_matrix,"RT Pressure plots, Stance, Maximum","s",0.000,1,1,"N/cm²",16,41,8.469,8.469

time,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
0.000,0.000,0.000,0.000,0.000,0.004,0.006,0.005,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,0.000,0.014,0.163,0.541,1.049,1.292,1.201,0.689,0.210,0.024,0.000,0.000,0.000,0.000,0.000,0.000
,0.000,0.164,1.192,2.399,4.054,4.854,4.206,2.848,1.372,0.436,0.039,0.000,0.000,0.000,0.000,0.000
,0.012,0.600,3.002,5.319,8.230,10.041,8.225,5.588,3.619,2.266,0.721,0.081,0.000,0.000,0.000,0.000
,0.234,2.135,6.343,10.351,14.198,14.558,11.181,7.808,5.738,4.498,2.479,0.490,0.016,0.000,0.000,0.000
,0.823,4.571,10.707,17.008,21.353,19.293,14.228,9.438,7.062,5.812,3.914,1.409,0.130,0.000,0.000,0.000
,1.365,7.035,14.131,20.454,24.246,21.907,15.850,10.611,8.074,6.929,5.274,2.743,0.613,0.023,0.000,0.000
,1.323,7.265,14.951,20.879,24.531,22.024,15.576,10.910,8.806,7.649,6.592,4.719,1.923,0.263,0.006,0.000
,1.206,6.805,13.330,19.779,22.283,19.762,14.406,11.092,9.697,9.120,7.881,6.212,4.241,1.381,0.086,0.000
,1.014,5.945,11.939,17.301,18.344,16.394,12.704,11.827,10.800,9.768,9.636,9.094,7.484,3.185,0.313,0.003
,0.890,5.197,10.230,13.782,14.702,13.299,12.617,12.602,12.238,12.301,13.138,11.989,9.454,4.968,1.068,0.040
,0.809,4.483,8.551,11.324,12.569,13.018,13.330,13.728,13.717,13.930,15.736,14.704,11.454,6.890,2.040,0.106
,0.942,3.743,7.629,11.196,12.601,13.623,14.046,14.407,14.779,14.774,16.677,16.357,13.675,8.885,3.155,0.171
,0.933,3.648,7.417,11.236,13.423,14.296,14.728,14.594,15.115,14.770,17.415,17.364,14.666,9.878,4.031,0.259
,0.676,3.271,6.895,10.217,13.164,13.062,13.915,13.796,14.825,14.625,17.427,17.740,15.418,10.104,4.342,0.459
,0.468,2.736,5.781,8.958,11.283,11.908,11.931,11.843,12.590,14.030,16.684,17.032,15.161,10.280,4.440,0.628
,0.525,3.158,5.862,7.880,8.677,9.700,9.818,10.125,10.151,11.238,13.131,14.361,13.413,9.465,4.212,0.466
,0.437,2.587,5.052,6.528,6.650,6.924,7.187,7.748,8.034,8.794,11.421,12.821,11.592,7.411,3.063,0.249
,0.083,0.941,2.501,3.963,4.259,4.515,5.392,5.909,6.819,8.952,12.315,13.669,11.728,6.493,2.024,0.128
,0.006,0.448,1.730,3.206,3.762,3.868,3.824,4.523,6.378,9.497,12.322,13.213,10.821,5.938,1.614,0.057
,0.000,0.069,0.889,2.957,4.385,4.365,4.157,4.416,6.536,9.844,12.423,12.953,9.665,4.823,1.081,0.005
,0.000,0.001,0.490,2.485,4.357,4.722,4.770,5.636,7.392,9.825,12.299,12.469,8.079,3.368,0.477,0.000
,0.000,0.000,0.115,1.466,3.767,4.773,5.105,6.610,8.680,10.932,12.155,10.899,6.458,2.050,0.147,0.000
,0.000,0.000,0.079,1.368,3.927,5.506,5.784,6.439,9.451,12.035,12.383,10.276,5.714,1.326,0.051,0.000
