type,name,time_units,begin_time,frequency,count,units,cell_count_x,cell_count_y,cell_size_mm_x,cell_size_mm_y
signal_matrix,"RT Three foot zone analysis, zones graph, Midfootright","s",0.000,1,1,"N/cm²",16,33,8.469,8.469

time,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
0.000,0.000,0.000,0.107,0.250,0.197,0.107,0.031,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,0.000,0.065,1.008,2.125,1.975,1.327,0.502,0.032,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,0.000,0.650,2.863,4.696,4.656,3.280,1.893,0.589,0.020,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,0.030,1.608,5.154,7.527,7.321,5.133,3.383,1.971,0.476,0.075,0.010,0.000,0.000,0.000,0.000,0.000
,0.270,2.488,6.541,8.673,8.262,6.430,4.625,3.332,1.806,1.034,0.404,0.179,0.027,0.000,0.000,0.000
,0.532,3.116,6.447,8.135,7.997,7.029,5.882,4.496,3.238,3.051,2.683,1.725,0.363,0.013,0.000,0.000
,0.586,3.136,5.808,7.033,6.934,6.440,5.913,5.254,4.594,5.101,4.837,3.463,1.426,0.166,0.000,0.000
,0.492,2.761,5.121,5.752,5.885,5.914,6.049,6.104,5.445,6.092,6.251,5.040,2.604,0.518,0.007,0.000
,0.322,2.195,4.574,5.529,6.113,6.346,6.517,6.617,6.081,6.521,6.869,6.083,3.807,1.380,0.093,0.001
,0.334,2.227,4.606,5.995,6.498,6.778,6.873,6.762,6.299,7.006,7.418,7.026,5.267,2.920,0.879,0.021
,0.253,1.807,3.997,5.821,6.721,7.226,7.223,6.851,6.681,7.115,7.742,7.645,6.585,4.195,1.585,0.061
,0.174,1.571,3.614,5.653,6.374,6.799,6.817,6.397,6.153,6.517,7.706,8.376,7.743,4.932,1.549,0.114
,0.187,1.651,3.327,4.858,5.567,5.721,5.841,5.804,5.332,5.968,7.606,8.263,7.702,4.799,1.483,0.092
,0.178,1.420,2.779,3.805,4.034,4.003,4.362,4.674,5.151,6.764,8.132,8.363,7.621,4.463,1.225,0.068
,0.057,0.721,1.910,2.682,2.963,3.473,3.678,4.122,5.308,7.351,8.466,9.397,8.757,4.267,1.038,0.068
,0.001,0.213,1.553,2.473,2.556,2.500,2.572,3.028,4.975,7.654,9.390,10.919,9.587,4.007,0.855,0.034
,0.000,0.084,0.809,2.005,2.582,2.810,2.528,2.893,4.944,7.647,10.115,11.624,8.692,2.860,0.501,0.009
,0.000,0.001,0.209,1.368,2.366,3.132,3.303,3.413,5.407,7.969,10.764,11.882,6.845,1.874,0.189,0.000
,0.000,0.000,0.045,0.862,2.050,3.103,3.820,4.610,6.334,8.755,11.696,11.300,5.151,1.305,0.065,0.000
,0.000,0.000,0.008,0.414,1.707,2.889,3.964,5.172,7.081,9.192,11.804,9.817,4.000,0.984,0.024,0.000
,0.000,0.000,0.045,0.575,2.170,3.370,4.149,5.124,7.296,9.478,11.572,8.805,3.379,0.607,0.003,0.000
,0.000,0.000,0.148,1.482,3.691,4.841,4.882,5.294,7.398,9.643,11.293,8.459,3.367,0.558,0.000,0.000
,0.000,0.004,0.381,2.520,5.326,6.468,5.603,5.040,7.211,9.937,11.592,9.026,3.706,0.627,0.002,0.000
,0.000,0.039,1.097,4.273,7.268,7.970,6.080,4.597,7.043,10.345,11.492,9.601,4.162,0.579,0.000,0.000
,0.000,0.068,1.776,5.565,8.683,9.074,6.551,4.237,6.692,10.469,11.686,9.910,4.444,0.652,0.001,0.000
,0.000,0.260,2.195,6.310,9.469,9.568,6.471,3.642,5.812,10.125,11.856,10.013,4.520,0.636,0.001,0.000
,0.000,0.306,2.520,6.508,9.207,9.405,6.510,3.278,4.950,9.577,11.841,9.509,4.124,0.580,0.000,0.000
,0.000,0.271,2.732,6.097,8.095,8.577,6.035,2.820,4.392,8.869,10.847,7.772,3.056,0.410,0.000,0.000
,0.000,0.154,2.351,5.293,7.075,7.470,5.089,2.487,4.417,8.079,8.625,5.702,2.129,0.164,0.000,0.000
,0.000,0.090,1.441,3.782,5.819,5.947,4.036,2.380,4.435,6.350,5.568,3.205,0.916,0.038,0.000,0.000
,0.000,0.010,0.616,2.248,3.813,3.939,2.855,1.967,3.455,4.079,2.645,0.943,0.090,0.000,0.000,0.000
,0.000,0.000,0.090,0.428,1.293,1.778,1.301,1.068,1.749,1.643,0.736,0.065,0.000,0.000,0.000,0.000
,0.000,0.000,0.000,0.007,0.107,0.212,0.145,0.240,0.577,0.357,0.056,0.002,0.000,0.000,0.000,0.000

