type,name,time_units,begin_time,frequency,count,units,cell_count_x,cell_count_y,cell_size_mm_x,cell_size_mm_y
signal_matrix,"RT Pressure plot 3d, Stance, Average","s",0.000,1,1,"N/cm²",16,41,8.469,8.469

time,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,0.000,0.000,0.004,0.031,0.110,0.195,0.203,0.116,0.019,0.001,0.000,0.000,0.000,0.000,0.000,0.000
,0.000,0.003,0.088,0.524,1.261,1.816,1.812,1.187,0.375,0.042,0.001,0.000,0.000,0.000,0.000,0.000
,0.000,0.068,0.746,2.444,4.076,4.861,4.477,3.129,1.551,0.436,0.056,0.002,0.000,0.000,0.000,0.000
,0.010,0.439,2.646,5.858,8.226,8.540,7.034,4.996,3.130,1.542,0.402,0.030,0.000,0.000,0.000,0.000
,0.080,1.315,5.320,9.969,12.579,11.671,8.868,6.387,4.624,3.025,1.286,0.212,0.008,0.000,0.000,0.000
,0.220,2.484,7.620,13.071,15.322,13.320,10.018,7.472,5.888,4.415,2.678,0.952,0.094,0.001,0.000,0.000
,0.305,3.125,8.541,13.836,15.442,13.116,10.069,8.080,6.798,5.618,4.127,2.252,0.513,0.023,0.000,0.000
,0.328,3.227,8.318,12.833,13.962,12.134,9.812,8.614,7.536,6.414,5.210,3.581,1.607,0.235,0.006,0.000
,0.300,2.967,7.409,10.990,11.878,11.017,10.019,9.386,8.362,7.021,6.184,5.198,3.478,1.114,0.062,0.000
,0.247,2.528,6.348,9.227,10.119,10.100,10.338,10.236,9.376,8.469,8.270,7.646,5.768,2.603,0.286,0.003
,0.183,2.053,5.495,8.140,9.417,10.260,11.024,11.725,11.099,10.612,10.676,10.017,7.703,4.116,0.791,0.021
,0.143,1.746,5.126,7.980,9.578,10.847,11.772,12.651,12.426,11.770,11.722,11.409,9.008,5.390,1.479,0.055
,0.125,1.585,4.759,7.707,9.608,10.750,11.826,12.402,12.872,11.890,11.694,11.966,9.857,6.362,2.099,0.092
,0.098,1.358,4.202,6.995,9.161,10.110,11.119,11.450,11.962,11.266,11.259,11.894,10.161,6.897,2.445,0.117
,0.063,1.005,3.448,5.894,7.764,8.767,9.513,10.052,10.159,9.986,10.478,11.109,9.763,6.805,2.425,0.116
,0.033,0.628,2.577,4.551,5.835,6.817,7.395,8.061,8.098,8.092,8.795,9.370,8.479,5.941,1.966,0.083
,0.015,0.328,1.625,3.015,3.788,4.398,4.864,5.494,5.975,6.447,7.463,8.195,7.588,4.844,1.301,0.040
,0.002,0.119,0.876,1.975,2.552,2.847,3.304,4.022,5.006,6.142,7.553,8.250,7.454,4.157,0.791,0.014
,0.000,0.032,0.433,1.496,2.299,2.608,2.831,3.430,4.500,6.078,7.768,8.303,7.057,3.376,0.431,0.004
,0.000,0.002,0.148,1.121,2.348,2.885,2.976,3.374,4.512,6.371,7.998,8.252,6.261,2.366,0.171,0.000
,0.000,0.000,0.040,0.705,2.263,3.175,3.399,3.949,5.360,7.252,8.478,8.240,5.293,1.450,0.053,0.000
,0.000,0.000,0.009,0.456,2.105,3.380,3.796,4.624,6.475,8.418,9.255,8.290,4.333,0.788,0.014,0.000
,0.000,0.000,0.004,0.448,2.387,3.983,4.388,5.200,7.351,9.560,10.239,8.529,3.760,0.463,0.003,0.000
,0.000,0.000,0.024,0.864,3.581,5.656,5.801,5.901,7.919,10.539,11.177,9.047,3.745,0.409,0.004,0.000
,0.000,0.000,0.139,1.806,5.538,8.004,7.557,6.444,8.089,11.236,11.905,9.675,4.154,0.493,0.004,0.000
,0.000,0.001,0.390,3.189,7.798,10.297,8.868,6.466,7.925,11.716,12.505,10.318,4.759,0.652,0.004,0.000
,0.000,0.015,0.871,4.759,9.868,12.093,9.532,6.013,7.439,12.006,13.057,10.792,5.272,0.804,0.004,0.000
,0.000,0.063,1.524,6.143,11.200,12.987,9.594,5.290,6.755,12.068,13.426,10.944,5.539,0.908,0.007,0.000
,0.000,0.133,2.248,7.189,11.835,13.071,9.049,4.557,6.037,11.778,13.476,10.777,5.462,0.899,0.008,0.000
,0.000,0.217,2.851,7.836,12.004,12.711,8.274,3.953,5.523,11.413,13.366,10.326,4.960,0.732,0.006,0.000
,0.000,0.274,3.176,8.016,11.807,12.144,7.625,3.806,5.764,11.689,13.331,9.620,4.199,0.507,0.001,0.000
,0.000,0.274,3.143,7.729,11.223,11.519,7.462,4.557,7.294,12.654,12.989,8.557,3.249,0.301,0.000,0.000
,0.000,0.213,2.674,6.931,10.385,11.113,8.132,6.539,9.698,13.310,11.743,6.965,2.127,0.122,0.000,0.000
,0.000,0.116,1.901,5.749,9.242,10.529,9.100,8.883,11.204,12.147,9.400,4.986,1.090,0.026,0.000,0.000
,0.000,0.038,1.010,4.159,7.566,9.357,9.550,10.240,11.090,10.201,7.272,3.206,0.437,0.003,0.000,0.000
,0.000,0.008,0.347,2.322,5.456,8.245,10.086,11.064,10.850,9.162,5.893,1.946,0.149,0.000,0.000,0.000
,0.000,0.001,0.060,0.826,3.286,6.774,9.735,10.789,9.922,7.550,4.011,0.885,0.028,0.000,0.000,0.000
,0.000,0.000,0.002,0.136,1.281,3.829,6.394,7.443,6.558,4.292,1.635,0.201,0.002,0.000,0.000,0.000
,0.000,0.000,0.000,0.006,0.179,1.022,2.204,2.765,2.354,1.209,0.247,0.011,0.000,0.000,0.000,0.000
,0.000,0.000,0.000,0.000,0.005,0.057,0.151,0.202,0.161,0.061,0.007,0.000,0.000,0.000,0.000,0.000

